ID,use.,dispersule,seeds.per.disp,morphological.unit,chemical.unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,type,mega.comp,microbe.rob,notes,AI
CBG-19899,,,,,,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,1998,0,NA,NA,2.02568306,165,35.66696,-116.28821,141,,19899,CBG,wild,,,,0.0195
DW-01,,,,,,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,2015,NA,NA,NA,NA,NA,33.300707,-116.329031,NA,,,DW,wild,,,only 200,0.057
SS-1,both,y,1,anthocarp,seed,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,2020,12,NA,NA,0.3115,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,,,NA
CBG-21097,,,,,,Achyrachaena mollis, ,ACHMOL,ACMO,Asteraceae,forb,native,2003,28,NA,NA,0.294872263,55,32.89794,-118.48631,420,,21097,CBG,wild,,,,0.1894
CBG-22430,,,,,,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,1997,80,NA,NA,0.03323741,14,34.14013,-118.76048,257,,22430,CBG,wild,,,,0.2085
MCL-EE-59,,,1,achene + pappus,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,MCL-EE,wild,,,,NA
MCL-ML-1a,both,y,1,achene + pappus,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,NA,NA,NA,0.72,NA,38.86537177,-122.4029395,663,location approximate,,MCL-ML,wild,,,,0.5527
MCL-ML-1b,both,y,1,achene + remnant flower,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,NA,NA,NA,NA,44,38.86537177,-122.4029395,663,location approximate,,MCL-ML,wild,,,"only 44 of this morph, 43 of them are in their dispersules and 1 is clean",0.5527
CBG-24787,both,,1,seed,seed,Achyronychia cooperi,,ACHCOO,ACCO3,Caryophyllaceae,forb,native,2017,60,NA,NA,0.110518868,1100,33.87157,-116.44117,394,,24787,CBG,wild,,,,0.0585
HED-1,both,,1,seed,seed,Acmispon americanus,Lotus purshianus,ACMAME,LOUNU,Fabaceae,forb,native,2021,76,NA,NA,1.155,NA,NA,NA,NA,,,HED,cultivated,x,,,NA
MCL-EE-2,,,1,seed,seed,Acmispon brachycarpus,Lotus humistratus,ACMBRA,LOHU2,Fabaceae,forb,native,2019,NA,NA,NA,NA,NA,38.87239,-122.42753,659,,,MCL-EE,wild,,,not enough of this one; cabinet,0.5647
GRIN-W6-32602,both,,1,seed,seed,Acmispon maritimus var. brevivexillus,Lotus salsuginosus var. brevivexillus,ACMMARB,LOSAB,Fabaceae,forb,native,2007,78,NA,NA,0.3715,100,33.9038,-111.82012,1016,,W6 32602,GRIN,wild,,,collected before 2007; cannot order more,0.2017
CBG-23436,both,,1,seed,seed,Acmispon strigosus,Lotus strigosus,ACMSTR,LOST4,Fabaceae,forb,native,2011,30,NA,NA,0.568,427,33.66545,-116.83133,760,,23436,CBG,wild,,,,0.1598
MCL-ML-16,both,,1,seed,seed,Acmispon wrangelianus,Lotus wrangelianus,ACMWRA,LOWR2,Fabaceae,forb,native,2021,NA,NA,NA,0.49,NA,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,wild,,,,0.5647
MCL-EE-3,,,,,,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2016,NA,NA,NA,NA,NA,38.86037,-122.40679,NA,,,MCL-EE,wild,,,have another acc,0.5527
SFREC-20,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,NA,NA,NA,3.58,NA,39.24872381,-121.315312,193,,,SFREC,wild,,,spikelet,0.4725
SFREC-20a,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,NA,NA,NA,1.37,NA,39.24872381,-121.315312,193,,,SFREC,wild,,,"morph 2, small",0.4725
SFREC-20b,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,NA,NA,NA,3.58,NA,39.24872381,-121.315312,193,,,SFREC,wild,,,"morph 1, large",0.4725
MCL-EE-4,,,,,,Agoseris heterophylla,,AGOHET,AGHE2,Asteraceae,forb,native,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,MCL-EE,wild,,,have another acc,NA
MCL-ML-7,both,y,1,achene + pappus,achene,Agoseris heterophylla,,AGOHET,AGHE2,Asteraceae,forb,native,2015,NA,NA,NA,0.17,NA,38.82669382,-122.3390715,399,,,MCL-ML,wild,,,,0.4412
CBG-19964,both,,1,seed,seed,Aliciella latifolia ssp. latifolia,,ALILATL,ALLAL3,Polemoniaceae,forb,native,1998,30,NA,NA,0.088171893,1750,33.60372,-115.92266,240,,19964,CBG,wild,,,not enough of this species for phosphorus,0.0325
GRIN-PI-612855,,,,,,Amaranthus fimbriatus,,AMAFIM,AMFI,Amaranthaceae,forb,native,1999,97,0,0.26,0.06,400,33.41666667,-112,345,,PI 612855,GRIN,wild,,,,0.073075
GRIN-PI-662285,both,,1,seed,seed,Amaranthus fimbriatus,,AMAFIM,AMFI,Amaranthaceae,forb,native,2010,74,73,0.26,0.064,400,31.83397,-110.85645,1111,,PI 662285,GRIN,wild,,,,0.1788
GRIN-PI-688207,both,,1,seed,seed,Amaranthus hybridus,,AMAHYB,AMHY,Amaranthaceae,forb,native,2010,100,31,0.56,0.112,200,31.79261,-110.74676,1580,,PI 688207,GRIN,wild,,,,0.2403
GRIN-PI-612856,both,,1,seed,seed,Amaranthus palmeri,,AMAPAL,AMPA,Amaranthaceae,forb,native,1999,84,9,0.3,0.12,400,33.41666667,-112,345,,PI 612856,GRIN,wild,,,,0.073075
GRIN-PI-688211,both,,1,seed,seed,Amaranthus torreyi,,AMATOR,AMTO6,Amaranthaceae,forb,native,2010,95,0,NA,0.14,400,31.79261,-110.74676,1580,,PI 688211,GRIN,wild,,,,0.2403
GRIN-W6-48213,both,,1,nutlet,nutlet,Amsinckia intermedia,,AMSINT,AMMEI2,Boraginaceae,forb,native,2013,92,NA,NA,0.89,200,33.393283,-111.3626803,709,,W6 48213,GRIN,wild,,,,0.1581
SS-2,,,,,,Amsinckia intermedia,,AMSINT,AMMEI2,Boraginaceae,forb,native,2019,73,NA,NA,0.4063,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,x,,NA
CBG-20715,,,,,,Amsinckia menziesii,,AMSMEN,AMME,Boraginaceae,forb,native,2001,99,NA,NA,1.665540475,600,33.75519,-116.89113,518,,20715,CBG,wild,,,,0.1268
SFREC-1,both,,1,nutlet,nutlet,Amsinckia menziesii,,AMSMEN,AMME,Boraginaceae,forb,native,2021,NA,NA,NA,0.7,NA,39.23602182,-121.3049973,353,,,SFREC,wild,x,,,0.5161
SS-3,both,,1,nutlet,nutlet,Amsinckia tessellata,,AMSTES,AMTE3,Boraginaceae,forb,native,2018,78,NA,NA,0.9543,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,,,NA
MCL-EE-5,morph,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2019,NA,NA,NA,0.1646,NA,38.86556193,-122.402132,679,near kathy's house,,MCL-EE,wild,,x,only need 200,0.5527
OUT-1,chem,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2021,NA,NA,NA,1.139,NA,NA,NA,NA,,,OUT,cultivated,x,,,NA
MCL-EE-6,both,,1,achene,achene,Ancistrocarphus filagineus,,ANCFIL,ANFI3,Asteraceae,forb,native,2019,NA,NA,NA,0.0614,NA,38.87251,-122.4273,663,,,MCL-EE,wild,,,,0.5647
CBG-21059,both,,1,achene,achene,Anisocoma acaulis,,ANIACA,ANAC,Asteraceae,forb,native,2003,8,NA,NA,2.0816,193,34.32338,-117.27163,960,,21059,CBG,wild,,,,0.1272
GRIN-W6-36754,both,y,1,mericarp,seed,Anoda pentaschista,,ANOPEN,ANPE4,Malvaceae,forb,native,2007,83,NA,5.282,0.5282,100,34.24222,-112.04806,1118,,W6 36754,GRIN,wild,,,cannot order more,0.1884
CBG-22016,morph,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2006,30,NA,NA,0.24306204,1800,34.70846,-118.69405,1195,,22016,CBG,wild,,,,0.1572
DW-02,,,,,,Antirrhinum coulterianum,,ANTCOU,SACO13,Plantaginaceae,forb,native,2015,NA,NA,NA,NA,NA,33.239178,-116.392846,NA,,,DW,wild,,,dont need this one,0.0692
SS-4,chem,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2019,68,NA,NA,0.2508,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,,,NA
CBG-22451,both,,1,seed,seed,Antirrhinum multiflorum,Sairocarpus multiflorus,ANTMUL,SAMU2,Plantaginaceae,forb,native,2001,16.3,NA,NA,0.313104711,20900,34.09281,-118.60984,253,,22451,CBG,wild,,,,0.2113
CBG-20124,,,,,,Argemone munita,,ARGMUN,ARMU,Papaveraceae,forb,native,1998,0,NA,NA,0.066388646,23,34.27603,-117.60992,2591,,20124,CBG,wild,,,,0.4355
CBG-21422,both,,1,seed,seed,Argemone munita,,ARGMUN,ARMU,Papaveraceae,forb,native,2004,NA,NA,NA,0.308722664,101,33.29491,-115.38441,183,,21422,CBG,wild,,,,0.0284
CBG-21102,both,y,1,floret,caryopsis,Aristida adscensionis,,ARIADS,ARAD,Poaceae,grass,native,2003,63.3,NA,NA,0.150966027,204,32.89794,-118.48631,183,,21102,CBG,wild,,,,0.1894
GRIN-W6-35187,,,,,,Aristida adscensionis,,ARIADS,ARAD,Poaceae,grass,native,2007,79,NA,1.04,0.104,100,32.345,-110.71806,1513,,W6 35187,GRIN,wild,,,,0.2453
CP-11,both,y,1,seed + papery covering,seed,Astragalus didymocarpus,,ASTDID,ASDI3,Fabaceae,forb,native,2020,NA,NA,NA,0.13,102,35.05878732,-119.6799643,NA,,,CP,wild,,,93 disperules,0.2077
CBG-21062,both,y,1,seed + papery covering,seed,Astragalus didymocarpus var. dispermus,,ASTDIDD,ASDID,Fabaceae,forb,native,2003,20,NA,NA,0.57,600,33.78216,-116.93819,506,,21062,CBG,wild,,,,0.1294
MCL-EE-7,,,,,,Astragalus gambelianus,,ASTGAM,ASGA,Fabaceae,forb,native,2019,NA,NA,NA,NA,NA,38.8726,-122.42719,NA,,,MCL-EE,wild,,,have another acc,0.5647
MCL-ML-17,both,y,1,seed + papery covering,seed,Astragalus gambelianus,,ASTGAM,ASGA,Fabaceae,forb,native,2021,NA,NA,NA,0.28,NA,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,wild,,,,0.5647
MCL-EE-8,both,y,1,silicle,seed,Athysanus pusillus,,ATHPUS,ATPU,Brassicaceae,forb,native,2018,NA,NA,NA,0.0514,140,38.87149122,-122.4275575,657,location estimate,,MCL-EE,wild,,,check notes on bag for location estimate,0.5647
MCL-ML-37,both,y,1,silicle,seed,Athysanus pusillus,,ATHPUS,ATPU,Brassicaceae,forb,native,2021,NA,NA,NA,0.008,25,38.87146422,-122.4276015,719,,,MCL-ML,wild,,,,0.5647
CBG-20046,both,,1,achene,achene,Atrichoseris platyphylla,,ATRPLA,ATPL,Asteraceae,forb,native,1998,14,NA,NA,0.543977508,600,35.72784,-117.40285,510,,20046,CBG,wild,,,,0.0322
CBG-23921,both,,1,utricle,utricle,Atriplex elegans var. fasciculata,,ATRELEF,ATELF,Chenopodiaceae,forb,native,2014,97.2,NA,NA,0.591860931,600,35.00113,-116.62708,546,,23921,CBG,wild,,,has really low viability ,0.0282
SFREC-2,both,y,1,floret,caryopsis,Avena barbata,,AVEBAR,AVBA,Poaceae,grass,invasive,2021,NA,NA,NA,1.44,NA,39.24532189,-121.3139005,236,,,SFREC,wild,x,,,0.4725
MCL-EE-60,,,1,floret,caryopsis,Avena fatua,,AVEFAT,AVFA,Poaceae,grass,invasive,2016,NA,NA,NA,NA,NA,38.87054,-122.42798,NA,,,MCL-EE,wild,,,,0.5647
MCL-ML-4,,,1,floret,caryopsis,Avena fatua,,AVEFAT,AVFA,Poaceae,grass,invasive,2015,NA,NA,NA,NA,NA,38.86995996,-122.4281839,667,location approximate,,MCL-ML,wild,,,,0.5647
SFREC-3,both,y,1,floret,caryopsis,Avena fatua,,AVEFAT,AVFA,Poaceae,grass,invasive,2021,NA,NA,NA,2.53,NA,39.25181407,-121.3129181,202,,,SFREC,wild,,,,0.4843
GRIN-Ames-29879,,,,,,Baileya multiradiata,,BAIMUL,BAMU,Asteraceae,forb,native,2005,NA,NA,0.87956,0.07,100,33.93194,-111.81722,1106,,Ames 29879,GRIN,wild,,,THIS IS PERENNIAL,0.2123
GRIN-Ames-31297,,,,,,Baileya multiradiata,,BAIMUL,BAMU,Asteraceae,forb,native,2011,84,68,0.87956,0.061,100,32.59387,-110.72922,NA,,Ames 31297,GRIN,wild,,,THIS IS PERENNIAL,0.2313
GRIN-Ames-32431,,,,,,Baileya multiradiata,,BAIMUL,BAMU,Asteraceae,forb,native,2010,83,15,0.87956,0.07,100,36.98867,-113.92238,NA,,Ames 32431,GRIN,wild,,,THIS IS PERENNIAL,0.0693
GRIN-W6-47602,,,,,,Baileya multiradiata,,BAIMUL,BAMU,Asteraceae,forb,native,2012,78,NA,0.87956,0.087956,100,32.45187,-109.39822,NA,,W6 47602,GRIN,wild,,,THIS IS PERENNIAL,0.1101
GRIN-W6-36758,both,,1,anthocarp,anthocarp,Boerhavia erecta,,BOEERE,BOER,Nyctaginaceae,forb,native,2007,75,NA,1.94,0.388,200,34.23667,-112.03944,1133,,W6 36758,GRIN,wild,,,,0.1915
CBG-23519,both,,1,anthocarp,anthocarp,Boerhavia triquetra var. intermedia,Boerhavia intermedia,BOETRII,BOIN,Nyctaginaceae,forb,native,2012,0,NA,NA,0.578996406,600,33.6087,-114.93563,109,,23519,CBG,wild,,,,0.028
CBG-23528,both,y,1,floret,caryopsis,Bouteloua barbata,,BOUBAR,BOBA2,Poaceae,grass,native,2012,2,NA,NA,0.223081559,1859,33.60871,-114.95355,106,,23528,CBG,wild,,,,0.0277
MCL-ML-28,both,,1,seed,seed,Brassica nigra,,BRANIG,BRNI,Brassicaceae,forb,invasive,2021,NA,NA,NA,1.52,NA,38.82412343,-122.3374759,387,,,MCL-ML,wild,,,,0.4461
OUT-2,,,1,seed,seed,Brassica nigra,,BRANIG,BRNI,Brassicaceae,forb,invasive,2021,NA,NA,NA,NA,NA,NA,NA,NA,,,OUT,cultivated,x,,,NA
DW-03,,,1,seed,seed,Brassica tournefortii,,BRATOU,BRTO,Brassicaceae,forb,invasive,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,DW,wild,,,don't need,NA
MD-2,both,,1,seed,seed,Brassica tournefortii,,BRATOU,BRTO,Brassicaceae,forb,invasive,2021,NA,NA,NA,1.64,NA,33.98481267,-116.653222,649,whitewater preserve,,MD,wild,,,,0.0923
MD-3,,,1,floret,caryopsis,Bromus diandrus,,BRODIA,BRDI3,Poaceae,grass,invasive,2021,NA,NA,NA,NA,NA,33.99061279,-116.6578569,681,Whitewater preserve,,MD,wild,,,don't do this one,0.0923
SAC-01,both,y,1,floret,caryopsis,Bromus diandrus,,BRODIA,BRDI3,Poaceae,grass,invasive,2021,NA,NA,NA,1.89,NA,38.56483847,-121.4745267,4,R&27,,SAC,wild,,,do this one,0.2554
MCL-EE-61,,,1,floret,caryopsis,Bromus hordeaceus,,BROHOR,BRHO3,Poaceae,grass,invasive,NA,NA,NA,NA,NA,NA,38.87111,-122.42699,NA,,,MCL-EE,wild,,,,0.5647
SFREC-4,both,y,1,floret,caryopsis,Bromus hordeaceus,,BROHOR,BRHO2,Poaceae,grass,invasive,2021,NA,NA,NA,0.41,NA,39.2473973,-121.3144869,216,location estimate,,SFREC,wild,,,,0.4725
SS-5,,,1,floret,caryopsis,Bromus hordeaceus,,BROHOR,BRHO2,Poaceae,grass,invasive,2020,93,NA,NA,NA,NA,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,cultivated,x,,,0.2358
MCL-EE-62,,,1,floret,caryopsis,Bromus madritensis,,BROMAD,BRMA4,Poaceae,grass,invasive,NA,NA,NA,NA,NA,NA,38.86556193,-122.402132,NA,kathy's house,,MCL-EE,wild,,,,0.5527
SFREC-5,both,y,1,floret,caryopsis,Bromus madritensis,,BROMAD,BRMA3,Poaceae,grass,invasive,2021,NA,NA,NA,0.44,NA,39.24532189,-121.3139005,236,,,SFREC,wild,,,,0.4725
MD-4,both,y,1,floret,caryopsis,Bromus rubens,,BRORUB,BRRU2,Poaceae,grass,invasive,2021,NA,NA,NA,0.407,NA,34.01680584,-116.6278051,748,Whitewater preserve & mission creek,,MD,wild,,,,0.0909
MD-5,both,y,1,floret,caryopsis,Bromus tectorum,,BROTEC,BRTE,Poaceae,grass,invasive,2021,NA,NA,NA,0.63,NA,34.01680584,-116.6278051,748,Whitewater preserve & mission creek,,MD,wild,,,,0.0909
MCL-EE-9,,,1,seed,seed,Calandrinia menziesii,Calandrinia ciliata,CALMEN,CACI2,Montiaceae,forb,native,2019,NA,NA,NA,NA,NA,38.86556193,-122.402132,NA,,,MCL-EE,wild,,,have another acc,0.5527
MCL-ML-18,both,,1,seed,seed,Calandrinia menziesii,Calandrinia ciliata,CALMEN,CACI2,Montiaceae,forb,native,2021,NA,NA,NA,0.19,NA,38.85967354,-122.4114163,646,knoxville road,,MCL-ML,wild,,x,,0.5445
SS-6,,,1,seed,seed,Calandrinia menziesii,Calandrinia ciliata,CALMEN,CACI2,Montiaceae,forb,native,2020,28,NA,NA,NA,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,x,,NA
SFREC-18a,both,y,1,achene + pappus,achene,Calycadenia multiglandulosa,,CALMUL,CAMU3,Asteraceae,forb,native,2021,NA,NA,NA,0.2,NA,39.293063,-121.28962,429,,,SFREC,wild,,,"morph 2, disc",0.6072
SFREC-18b,both,,1,achene,achene,Calycadenia multiglandulosa,,CALMUL,CAMU3,Asteraceae,forb,native,2021,NA,NA,NA,0.19,NA,39.293063,-121.28962,429,,,SFREC,wild,,,"morph 1, ray",0.6072
MCL-EE-10,both,,1,achene,achene,Calycadenia pauciflora,,CALPAU,CAPA6,Asteraceae,forb,native,2016,NA,NA,NA,0.1863,NA,38.87149122,-122.4275575,657,location estimate,,MCL-EE,wild,,,check notes on bag for location estimate,0.5647
CBG-19520,chem,,1,seed,seed,Calyptridium monandrum,Cistanthe monandra,CALMON,CIMO4,Montiaceae,forb,native,1996,91.5,NA,NA,0.149245812,1900,33.31805,-116.74555,1192,,19520,CBG,wild,,,,0.2701
CBG-21042,morph,,1,seed,seed,Calyptridium monandrum,Cistanthe monandra,CALMON,CIMO4,Montiaceae,forb,native,2003,67.3,NA,NA,0.200023313,2500,34.43305,-117.58658,1250,,21042,CBG,wild,,,,0.1911
CP-12,both,,1,seed,seed,Camissonia campestris,,CAMCAM,CACA33,Onagraceae,forb,native,2019,NA,NA,NA,0.0244,NA,35.06472873,-119.692718,NA,,,CP,wild,,,,0.2142
CBG-21165,both,,1,seed,seed,Camissoniopsis ignota,Camissonia ignota,CAMIGN,CAIG2,Onagraceae,forb,native,2003,11.6,NA,NA,0.209065141,2300,33.78216,-116.93819,506,,21165,CBG,wild,,,,0.1294
CBG-23460,morph,,1,seed,seed,Camissoniopsis pallida,Camissonia pallida,CAMPAL,CAPA36,Onagraceae,forb,native,2011,20.5,NA,NA,0.155,1550,33.96135,-116.6659,1390,,23460,CBG,wild,,,,0.1035
SS-7,chem,,1,seed,seed,Camissoniopsis pallida,Camissonia pallida,CAMPAL,CAPA36,Onagraceae,forb,native,2019,82,NA,NA,NA,NA,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,cultivated,,,,0.2358
CP-1,both,,1,seed,seed,Capsella bursa-pastoris,,CAPBUR,CABU2,Brassicaceae,forb,invasive,2019,NA,NA,NA,0.1996,NA,35.13267495,-119.7457026,NA,,,CP,wild,,,,0.1893
SAC-07,both,,1,seed,seed,Capsella bursa-pastoris,,CAPBUR,CABU2,Brassicaceae,forb,invasive,2021,NA,NA,NA,0.1692,NA,38.58438631,-121.4644342,12,Sutter's landing,,SAC,wild,,,,0.2569
SAC-02,,,1,achene,achene,Carduus pycnocephalus,,CARPYC,CAPY2,Asteraceae,forb,invasive,2021,NA,NA,NA,0.6551,NA,38.56230515,-121.4725722,6,T&29th sac,,SAC,wild,,,,0.2554
SFREC-6,both,,1,achene,achene,Carduus pycnocephalus,,CARPYC,CAPY2,Asteraceae,forb,invasive,2021,NA,NA,NA,0.876,141,39.24532189,-121.3139005,236,,,SFREC,wild,,,,0.4725
MCL-EE-11,both,,1,seed,seed,Castilleja attenuata,,CASATT,CAAT25,Orobanchaceae,forb,native,2019,NA,NA,NA,0.2452,NA,38.86983,-122.42793,671,,,MCL-EE,wild,,,,0.5647
CBG-22368,both,,1,seed,seed,Castilleja exserta,,CASEXS,CAEX14,Orobanchaceae,forb,native,1997,100,NA,NA,0.19,1500,34.09941,-118.69897,216,,22368,CBG,wild,,,,0.2047
CBG-22375,,,1,seed,seed,Castilleja exserta,,CASEXS,CAEX14,Orobanchaceae,forb,native,1997,95.7,NA,NA,0.21514454,2050,34.09941,-118.69897,216,,22375,CBG,wild,,,,0.2047
SS-8,,,2,seed,seed,Castilleja exserta,,CASEXS,CAEX14,Orobanchaceae,forb,native,2020,50,NA,NA,0.2422,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,x,,NA
CBG-23305,both,,1,seed,seed,Caulanthus anceps,,CAUANC,CAAN25,Brassicaceae,forb,native,2010,88,NA,NA,0.251004742,1650,35.20075,-119.85575,634,,23305,CBG,wild,,,,0.1893
CBG-19136,both,,1,seed,seed,Caulanthus heterophyllus,,CAUHET,CAHE11,Brassicaceae,forb,native,1996,62,NA,NA,0.181457355,600,33.33055,-116.75333,1387,,19136,CBG,wild,,,,0.2955
CBG-22341,both,,1,seed,seed,Caulanthus lasiophyllus,Guillenia lasiophylla,CAULAS,GULA4,Brassicaceae,forb,native,1996,84,NA,NA,0.120751264,1050,34.09444,-118.64868,386,,22341,CBG,wild,,,,0.2261
CP-2,both,,1,seed,seed,Caulanthus lasiophyllus,Guillenia lasiophylla,CAULAS,GULA4,Brassicaceae,forb,native,NA,NA,NA,NA,0.3647,NA,35.102049,-119.731119,NA,,,CP,wild,,,,0.1976
MCL-ML-38,both,y,1,achene + pappus,achene,Centaurea melitensis,,CENMEL,CEME2,Asteraceae,forb,invasive,2021,NA,NA,NA,1.06,NA,38.859917,-122.425658,671,,,MCL-ML,wild,,,,0.5603
MCL-EE-63,,,,,,Centaurea solstitialis,,CENSOL,CESO4,Asteraceae,forb,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,MCL-EE,wild,,,,NA
MCL-ML-39a,both,y,1,achene + pappus,achene,Centaurea solstitialis,,CENSOL,CESO3,Asteraceae,forb,invasive,2021,NA,NA,NA,NA,NA,38.87190074,-122.4265917,651,,,MCL-ML,wild,x,,disc morph,0.5647
MCL-ML-39b,both,,1,achene,achene,Centaurea solstitialis,,CENSOL,CESO3,Asteraceae,forb,invasive,2021,NA,NA,NA,NA,NA,38.87190074,-122.4265917,651,,,MCL-ML,wild,x,,ray morph,0.5647
MCL-ML-8,,,,,,Centaurea solstitialis,,CENSOL,CESO3,Asteraceae,forb,invasive,2016,NA,NA,NA,NA,NA,38.84860964,-122.357364,NA,location approximate,,MCL-ML,wild,,,in big bag above desk; dont bother cleaning this one,0.4644
CBG-22342,morph,,1,achene,achene,Chaenactis artemisiifolia,,CHAART,CHAR,Asteraceae,forb,native,1996,NA,NA,NA,0.311994202,600,34.09444,-118.64868,386,,22342,CBG,wild,,,,0.2261
SS-9,chem,,1,achene,achene,Chaenactis artemisiifolia,,CHAART,CHAR,Asteraceae,forb,native,2019,75,NA,NA,0.2,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,,,NA
CBG-24825,both,,1,achene,achene,Chaenactis carphoclinia,,CHACAR,CHCA,Asteraceae,forb,native,2017,20.8,NA,NA,0.191986605,600,33.5114,-116.2221,252,,24825,CBG,wild,,,,0.0486
