"Species","new.code","family","group","nat.inv","appendage.type","appendage","disp.cat.all","disp.cat.nat","site","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"Chenopodium murale","CHEMUR","Chenopodiaceae","forb","invasive","no appendage","none","human","animal","DW",5.7997,5.7997,221.94241566,0.515393258426966,0.0359636992221262,48.59375,0.024214435,1.3936932,20.1676950902373,2.65439979287248,0.0336,0.0132,0.0468,0.0515163932923939,1.24152226020492,7,6,0,0,1,1,0.0572,0.09,0.15,0.76
"Chenopodium neomexicanum","CHENEO","Chenopodiaceae","forb","native","no appendage","none","human","animal","GRIN",5.1177,5.1177,215.80371368,0.502067460904666,0.0282631918799759,42.5,0.0396151945,1.287338175,20.0198810482777,2.5612836875043,0.0323,0.0163,0.0486,0.065541363244324,1.31292781385623,7,6,0.5,0,1,1,0.232066666666667,NA,NA,NA
"Chenopodium watsonii","CHEWAT","Chenopodiaceae","forb","native","no appendage","none","human","animal","GRIN",4.3548,4.3548,218.79326398,0.547331278890601,0.0354083204930663,27.5,0.000800003,1.1078643,14.0013274419477,2.65602298680104,0.0356,0.0126,0.0482,0.0462841908856057,1.28449878266397,7,6,0,0,1,0,0.19665,NA,NA,NA
"Chorizanthe brevicornu","CHOBRE","Polygonaceae","forb","native","elongated appendage","hooks","adhesive","adhesive","SD",13.32,4.8096,207.317068,0.649337274424393,0.0332451773490977,15,0.047679434,5.118333,87.226829233825,0.954336380549867,0.0326,0.059,0.0916,0.0333393581969726,0.765625889853289,6,6,0,1,1,1,0.1157,NA,NA,NA
"Chorizanthe fimbriata","CHOFIM","Polygonaceae","forb","native","elongated appendage","hooks","adhesive","adhesive","CBG",14.3022,6.21983333333333,157.59496014,0.457781466113416,0.0244813278008299,11.43,0.04827659,5.6855595,126.128466115058,0.90254282098111,0.0146,0.0608,0.0754,0.0248390076519956,0.658903368302667,6,6,0,1,1,1,0.21535,NA,NA,NA
"Chorizanthe staticoides","CHOSTA","Polygonaceae","forb","native","elongated appendage","hooks","human","adhesive","CBG/SS",7.9827,5.1985,181.78543198,0.480377797151991,0.0256873002034292,32.5,0.054386673,3.7711704,132.515118851871,0.952600196268633,0.0274,0.0408,0.0682,0.0357906256794381,0.67105176484252,7,6,0,1,1,1,0.2378,NA,NA,NA
"Chylismia brevipes","CHYBRE","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","CBG",5.817,5.817,187.94837978,0.506208695652174,0.0264434782608696,39,0.029286672,1.9897242,123.390245337153,1,0.007,0,0.007,0.00552313257561741,0.852268032186517,2,2,1,NA,NA,0,0.1226,NA,NA,NA
"Chylismia cardiophylla","CHYCAR","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","CBG",0.3307,0.3307,110.176559686,0.540894399554193,0.0325215937587072,100,0.029714615,0.59381527,172.498801998182,1,0.0058,0,0.0058,0.0153979364375839,0.528229734283352,2,2,0,NA,NA,0,0.0405,NA,NA,NA
"Chylismia claviformis","CHYCLA","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","DW/CBG",0.8683,0.8683,141.34233548,0.528860024755212,0.0376699072878205,36.6666666666667,0.0247383086666667,0.82720534,84.6603841803362,1,0.0452,0,0.0452,0.0860192760526611,0.715787731611229,2,2,0,NA,NA,0,0.0373333333333333,NA,NA,NA
"Clarkia dudleyana","CLADUD","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","CBG",2.4543,2.4543,208.55319282,0.555700852189245,0.0553599764913312,70,0.020048856,1.2097876,38.0918403756839,1,0.0176,0,0.0176,0.0207937469422263,0.838105431375321,2,2,0,NA,NA,1,0.1812,NA,NA,NA
"Clarkia epilobioides","CLAEPI","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","CBG",0.6723,0.6723,147.09769078,0.489493545183714,0.043796756041046,45.72,0.038181481,0.8552712,38.6006733470737,1,0.0196,0,0.0196,0.03914092303922,0.531269026669626,2,2,0,NA,NA,1,0.1606,NA,NA,NA
"Clarkia gracilis","CLAGRA","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","MCL",3.8749,3.8749,164.23303477,0.517165648336728,0.0639850644942295,42.2166666666667,0.087029716,2.0606276,58.2653100512299,1,0.0142,0,0.0142,0.0184158828741549,0.888981452408807,2,2,0,NA,NA,1,0.5647,NA,NA,NA
"Clarkia purpurea","CLAPUR","Onagraceae","forb","native","no appendage","none","ant","ant","MCL",4.5448,4.5448,198.2506768,0.538604395604396,0.0565457875457875,25.9,0.027965908,1.5864617,54.3196611438564,1,0.0186,0,0.0186,0.0181699783894483,1.02621090968052,3,3,0,NA,NA,1,0.5587,NA,NA,NA
"Clarkia unguiculata","CLAUNG","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","CBG",3.202,3.202,189.12953464,0.547532276995305,0.0532012910798122,100,0.023246333,1.34273156,40.2918415429947,1,0.012,0,0.012,0.0132093313226236,0.881938491329024,2,2,0,NA,NA,1,0.1812,NA,NA,NA
"Claytonia parviflora","CLAPAR","Montiaceae","forb","native","nutrient-containing appendage","elaiosome","ant","ant","CBG",4.31015,4.31015,199.87723037,0.457525913828174,0.0211537865080578,22.99,0.043664327,1.236376575,37.3454300463155,2.35703250210022,0.0218,0,0.0218,0.0362225928565605,1.50870469431681,3,3,0,0,0.5,0,0.3429,NA,NA,NA
"Claytonia perfoliata","CLAPER","Montiaceae","forb","native","nutrient-containing appendage","elaiosome","animal","animal","CBG",3.7146,3.7146,193.08515824,0.446760151913526,0.0289599766286883,15.1836842,0.033973783,1.3648888,31.0880090547245,2.41360264242865,0.0148,0,0.0148,0.0197618892633188,1.02534422027739,6,6,0,0,1,0,0.1272,NA,NA,NA
"Collinsia concolor","COLCON","Plantaginaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",5.2036,5.2036,221.02510478,0.481844630145466,0.0172268647477561,27.5,0.03213553,1.33830003,88.1079575431145,0.805737043263217,0.029,0,0.029,0.0384948416049434,1.39756656255875,1,1,0,0,0,1,0.1606,NA,NA,NA
"Collinsia heterophylla","COLHET","Plantaginaceae","forb","native","no appendage","none","ballistic","ballistic","CBG/SS",6.0912,6.0912,237.05714716,0.451751363766868,0.0257967269595177,38.4,0.035953481,1.4468707,95.3121408710489,0.829739750244162,0.1336,0,0.1336,0.172274842486829,1.47114942939487,2,2,0,1,0,1,0.21715,0.09,0.15,0.76
"Collinsia parviflora","COLPAR","Plantaginaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",11.2174,11.2174,254.76065302,0.465304251180884,0.01707696582384,30.48,0.056641752,2.14925675,87.7826063144012,0.827500090717752,0.03,0,0.03,0.0330233279430456,1.50122037892144,2,2,0,1,0,1,0.3429,0.13,0.15,0.72
"Collinsia sparsiflora","COLSPA","Plantaginaceae","forb","native","flat appendage","wing","unassisted","unassisted","MCL",11.0514,11.0514,190.24698882,0.41385667484337,0.020105040856442,12.73,0.045430203,2.5237149,114.167777642975,0.830603980271187,0.0318,0,0.0318,0.0262856010568862,1.02431973857852,1,1,0,0,0,0,0.5647,NA,NA,NA
"Convolvulus equitans","CONEQU","Convolvulaceae","forb","native","no appendage","none","animal","animal","GRIN",174.41,174.41,248.99780632,0.431641602956946,0.0201658076843037,60.96,0.015685557,3.8863876,3.18425611724703,0.85153279818769,0.0486,0,0.0486,0.0170295765199843,5.28562824678527,6,6,0,0,0,1,0.2252,NA,NA,NA
"Cordylanthus nevinii","CORNEV","Orobanchaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",5.6209,5.6209,201.93165232,0.580182767624021,0.0446083550913838,50,0.070469221,1.9719984,42.1716238633159,0.899988573318858,0.025,0,0.025,0.0350402818875746,1.12000478791138,2,2,0,1,0,1,0.4025,NA,NA,NA
"Cordylanthus rigidus ssp. setiger","CORRIG","Orobanchaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",5.2593,5.2593,210.05169044,0.517138294474609,0.0372245289045034,60.96,0.05539944,1.78366145,40.492213438267,0.885066664424083,0.0398,0,0.0398,0.0519147097147266,1.10676484183374,2,2,0,1,0,1,0.4332,NA,NA,NA
"Cryptantha angustifolia","CRYANG","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive","CBG",0.7094,0.7094,139.2577786,0.504269699967029,0.0416452357401912,12.5,0.046236452,1.01037228,67.5591874161081,1,0.0058,0.0062,0.012,0.0218380067577712,0.461709976416214,6,6,0,1,0,1,0.0306,NA,NA,NA
"Cryptantha barbigera","CRYBAR","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive","DW",5.3541,5.3541,223.17853012,0.441959334565619,0.0236260012322859,28,0.06351126,2.0850008,59.5097049904387,1,0.0194,0.0232,0.0426,0.0505952158969123,0.980445868640704,6,6,0,0,0,1,0.0692,NA,NA,NA
"Cryptantha costata","CRYCOS","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive","CBG",1.96,1.96,188.2220383,0.527286864759789,0.043848930852541,15,0.06822697,1.3892618,25.9260747869783,1,0.0152,0.0166,0.0318,0.0597997441962515,0.788867006505207,6,6,0,1,0,0,0.0258,NA,NA,NA
"Cryptantha intermedia","CRYINT","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive","CBG",3.1454,3.1454,195.1520396,0.428342704942291,0.0414382953536549,35,0.057492596,1.7947402,38.6578753049849,1,0.0122,0.0202,0.0324,0.0367405273735299,0.779950304960718,6,6,0,NA,NA,1,0.1294,NA,NA,NA
"Cryptantha micrantha","CRYMIC","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive","CBG",0.8444,0.8444,136.86758622,0.516516369902355,0.0424755887421022,6.5,0.041048221,1.04139226,29.65116752177,1,0.0094,0.016,0.0254,0.0427742467038359,0.478827174192926,6,6,0,NA,NA,1,0.0374,NA,NA,NA
"Cryptantha muricata","CRYMUR","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive","CBG",3.3295,3.3295,187.3603258,0.507452374182542,0.0184077338640887,12.7,0.042072141,1.7415627,41.7821424391688,1,0.0096,0.0174,0.027,0.0274450628619,0.759067619562851,6,6,0,NA,NA,1,0.2701,NA,NA,NA
"Cryptantha nevadensis var. rigida","CRYNEV","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive","CBG",4.7668,4.7668,256.0692155,0.422706852431049,0.0328859823713392,20,0.03914864,1.9321153,40.0294394568479,1,0.0196,0.0312,0.0508,0.0453102685751899,0.846477277941599,6,6,0,NA,NA,1,0.0632,NA,NA,NA
"Cryptantha pterocarya","CRYPTE","Boraginaceae","forb","native","flat appendage","wing","adhesive","adhesive","CBG",3.8336,3.8336,231.71888124,0.503879686137751,0.0317727404824179,25,0.050195353,2.06505905,49.1120824705167,1,0.014,0.0346,0.0486,0.0505393889074506,0.471853524908917,6,6,0,NA,NA,1,0.1846,NA,NA,NA
"Cucurbita palmata","CUCPAL","Cucurbitaceae","forb","native","no appendage","none","animal","animal","CBG",751.6,751.6,336.26668146,0.522872019731433,0.0262428062482872,7.5,0.086865351,9.9596993,44.8079376156991,1,0.532,0,0.532,0.192081289957286,5.85756624700119,6,6,1,NA,NA,0,0.0363,0.28,NA,NA
"Cynosurus echinatus","CYNECH","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive","SFREC",18.17,16.47,221.81932818,0.431115044247788,0.0295246523388116,41.8125,0.181798295,15.217623,38.153727632621,0.273869656516294,0,0,0.0068,0.00467830495929909,0.805607046324276,7,6,0,0,1,1,0.4843,NA,NA,NA
"Daucus pusillus","DAUPUS","Apiaceae","forb","native","elongated appendage","prickles","adhesive","adhesive","GRIN",19.9556,19.9556,179.09582058,0.480426390089311,0.0285710169979833,17.1888889,0.049685107,4.89011295,126.131754324509,0.238212816089917,0,0.0822,0.0822,0.0370243569371416,0.716964458508637,6,6,0,0,0,1,0.0777,0.25,0.18,0.58
"Deinandra fasciculata","DEIFAS","Asteraceae","forb","native","flat appendage","pappus","unassisted","unassisted","CBG",6.0169,6.0169,181.80039882,0.500229717941262,0.0297441116603664,52,0.073686196,2.2135129,55.2311283467791,1,0,0.059,0.059,0.0643183842873021,0.9963371210449,2,2,0,NA,NA,1,0.2083,NA,NA,NA
"Deschampsia danthonioides","DESDAN","Poaceae","grass","native","no appendage","none","animal","animal","CBG",1.8173,1.8173,151.07524134,0.400415156507413,0.0178056013179572,45.72,0.069208015,1.3737519,34.8049035027718,0.488334474355261,0,0,0.007,0.0115300427700348,0.773753003769365,6,6,0,1,1,0,0.1894,NA,NA,NA
"Descurainia pinnata","DESPIN","Brassicaceae","forb","native","no appendage","none","animal","animal","CP",1.3049,1.3049,178.22463386,0.540666455093621,0.0365756902570613,35,0.030036526,0.90401725,379.873780211282,0.971242205334434,0.017,0,0.017,0.0297380622496711,0.84626005456688,6,6,1,1,0,0,0.2136,NA,NA,NA
"Diplacus bigelovii","DIPBIG","Phrymaceae","forb","native","no appendage","none","unknown","unknown","CBG",0.372,0.372,80.372214222,0.542992726013163,0.0298753030827849,13.5,0.036557072,0.63369836,24.202866115883,0.922413262501324,0.005,0,0.005,0.0132740831358482,0.557804667961373,2,2,0,1,0,0,0.0486,NA,NA,NA
"Draba cuneifolia","DRACUN","Brassicaceae","forb","native","no appendage","none","unassisted","unassisted","SD",0.5841,0.5841,102.34970398,0.556629055007052,0.041533850493653,15,0.017732948,0.7843679,6.96218418250677,1,0.01,0,0.01,0.0177684576294692,0.455352730990672,1,1,1,NA,NA,1,0.1157,NA,NA,NA
"Elymus caput-medusae","ELYCAP","Poaceae","grass","invasive","elongated appendage","awn","animal","animal","MCL/SFREC",33.06,19.62,181.81786052,0.388742746615087,0.0146776273372018,34.9290826,0.154303439,77.909447,56.5085259568018,0.199367610261549,0,0,0.0178,0.00137043260700174,0.291630068827872,6,6,0,0,1,1,0.5144,0.02,0.14,0.84
"Emmenanthe penduliflora","EMMPEN","Boraginaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",5.314,5.314,162.91769613,0.503639491796714,0.0187776279241912,45.0552,0.0598949205,2.063951325,63.7485916937115,0.787844856072391,0.0132,0,0.0132,0.0158172665007343,0.761291629015781,2,2,0,0,0,1,0.16375,NA,NA,NA
"Epilobium brachycarpum","EPIBRA","Onagraceae","forb","native","no appendage","none","wind","wind","MCL/CBG",1.8489,1.8489,154.89163856,0.540336963921035,0.0449557522123894,47.825,0.075833817,1.44687075,59.676194009441,1,0.0092,0,0.0092,0.018536308598913,0.707788311322976,5,5,1,NA,NA,1,0.38295,NA,NA,NA
"Eremothera boothii","EREBOO","Onagraceae","forb","native","no appendage","none","unknown","unknown","CBG",1.8862,1.8862,147.56843344,0.500972903225806,0.0337470967741936,30.48,0.072758308,1.460165,43.4599454583795,1,0.0156,0,0.0156,0.0290932783281391,0.690307597508144,2,2,0,NA,NA,1,0.1019,NA,NA,NA
"Eriastrum diffusum","ERIDIF","Polemoniaceae","forb","native","no appendage","none","ant","ant","SD",1.6855,1.6855,139.23501372,0.487228098725251,0.0310360726878221,20,0.059251413,1.2186506,1003.74219636559,0.957476800528794,0.0082,0,0.0082,0.0139128357447219,0.78887241240488,3,3,1,1,0,0,0.1157,NA,NA,NA
"Eriastrum eremicum","ERIERE","Polemoniaceae","forb","native","no appendage","none","unknown","unknown","DW",1.4668,1.4668,138.86131152,0.472225628448805,0.0382311465358676,17.78,0.040704421,1.07684406,1138.27108811759,0.952274971093798,0.0068,0,0.0068,0.0110394529756237,0.77837265986728,2,2,1,1,0,0,0.0692,NA,NA,NA
"Eriastrum sapphirinum","ERISAP","Polemoniaceae","forb","native","no appendage","none","unknown","unknown","CBG",2.1437,2.1437,156.3040016,0.466090120347047,0.026767422334173,22.5,0.037898595,1.29841706,1816.32212572055,0.849186887112249,0.007,0,0.007,0.00918381326148408,0.774637076188023,2,2,1,1,0,0,0.2018,NA,NA,NA
"Eriogonum gracillimum","ERIGRA","Polygonaceae","forb","native","no appendage","none","wind","wind","CP",1.5509,1.5509,168.3459314,0.430624426078972,0.0354759718396082,30,0.04910674,1.03696092,100.697668629519,1.57583722995843,0,0.0092,0.0092,0.016742472456995,1.20462470250997,5,5,0,0,1,0,0.1853,NA,NA,NA
"Eriogonum parishii","ERIPAR","Polygonaceae","forb","native","no appendage","none","wind","wind","CBG",2.416,2.416,181.55122436,0.429292576419214,0.0185822416302766,25,0.030252358,1.2851227,44.5577648627335,1.90212882774572,0,0.0086,0.0086,0.0106047593370713,0.961155994408491,5,5,0,0,1,1,0.399,NA,NA,NA
"Eriogonum pharnaceoides","ERIPHA","Polygonaceae","forb","native","elongated appendage","","wind","wind","GRIN",6.3293,6.3293,200.0047848,0.549081569115816,0.0319894146948941,21.3,0.048610878,1.9897244,59.6599465788077,1.63527674330135,0.0592,0,0.0592,0.055895552211516,1.27917808589056,5,5,0,0,1,0,0.3044,NA,NA,NA
"Eriophyllum lanosum","ERILAN","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","SD",0.9843,0.9843,113.04258303,0.494759073842303,0.0282165206508135,8,0.182887305,3.3900649,104.664318652672,1,0,0.0212,0.0212,0.0673799919436413,0.133546544695151,5,5,0,NA,NA,0,0.1157,NA,NA,NA
"Eriophyllum wallacei","ERIWAL","Asteraceae","forb","native","flat appendage","pappus","wind","wind","CBG",0.7359,0.7359,88.870358254,0.506753287413901,0.0249937382592361,8,0.149486167,2.0207445,141.314071247022,1,0,0.0162,0.0162,0.04458149247774,0.238442529556991,5,5,0,NA,NA,1,0.164,NA,NA,NA
"Erodium botrys","EROBOT","Geraniaceae","forb","invasive","elongated appendage","awn","adhesive","adhesive","SFREC",131.85,31.15,254.51043812,0.483774960380349,0.0659080824088748,19.92,0.111177203,3.8154846,31.1232721027311,1,0.0138,0.0378,0.0516,0.0462064471103455,0.844700865060815,6,6,0,NA,NA,1,0.5455,NA,NA,NA
"Erodium cicutarium","EROCIC","Geraniaceae","forb","invasive","elongated appendage","awn","human","adhesive","MD",27.82,11.9066,274.0276119,0.463152882205514,0.0532080200501253,13.60623076,0.104680768,2.6278539,22.680355346315,1,0.02072,0.0298,0.05052,0.0612920086079118,0.605957043021286,7,6,0,NA,NA,1,0.0909,NA,NA,NA
"Erodium texanum","EROTEX","Geraniaceae","forb","native","elongated appendage","awn","human","adhesive","SD",58.5333333333333,16.1821,240.11786546,0.494776659959759,0.0647122736418511,30,0.110994967,3.354613,25.5951074472527,1,0.0102,0.0668,0.077,0.0782692549380886,0.439586760407792,7,6,0,NA,NA,1,0.1157,0.16,0.26,0.59
"Erysimum repandum","ERYREP","Brassicaceae","forb","invasive","no appendage","none","adhesive","adhesive","GRIN",1.6504,1.6504,158.08516432,0.493838823849714,0.0441600871222434,23.0357143,0.042966762,1.2496709,44.9684098583998,1,0.0156,0,0.0156,0.0222802960360083,0.606538324372462,6,6,0,NA,NA,0,NA,NA,NA,NA
"Erythranthe guttata","ERYGUT","Phrymaceae","forb","native","no appendage","none","animal","animal","MCL",0.2238,0.2238,98.885310956,0.552800949474398,0.0450356052899288,11.6,0.037073778,0.62926691,41.2651596338494,0.92011994125562,0.0078,0,0.0078,0.0209540891072102,0.317979408233217,6,6,0,1,0,0,0.5546,NA,NA,NA
"Eschscholzia californica","ESCCAL","Papaveraceae","forb","native","no appendage","none","unassisted","unassisted","CBG",6.518,6.518,211.06200672,0.489078842580303,0.0276745420759225,20.44592728,0.008050315,1.4668124,39.6812279080005,0.519249112256485,0.046,0,0.046,0.0387325855979617,1.26760893171489,1,1,0,1,0,1,0.1516,NA,NA,NA
"Eschscholzia glyptosperma","ESCGLY","Papaveraceae","forb","native","no appendage","none","ballistic","ballistic","CBG",6.1157,6.1157,205.72010654,0.394272596843615,0.022545193687231,15,0.000725625,1.240808,41.1953066540928,0.555340392238988,0.0348,0,0.0348,0.0297460151879051,1.39777699404566,1,1,0,0,0,1,0.0431,NA,NA,NA
"Eschscholzia minutiflora","ESCMIN","Papaveraceae","forb","native","no appendage","none","unassisted","unassisted","CBG",5.7029,5.7029,197.62806722,0.594537890044576,0.0359851411589896,20,0.001352501,1.2496711,33.5985733658155,0.624354522992445,0.0352,0,0.0352,0.0305508164662305,1.34098658275074,1,1,0,0,0,1,0.0462,NA,NA,NA
"Eucrypta chrysanthemifolia","EUCCHR","Boraginaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",5.0597,5.0597,201.19153502,0.503947368421053,0.0315355398806294,90,0.009914308,1.3427317,54.2857992093765,0.791362566423168,0.0174,0,0.0174,0.0164287591925635,1.20352610480162,2,2,0,0,0,1,0.1362,NA,NA,NA
"Eucrypta micrantha","EUCMIC","Hydrophyllaceae","forb","native","no appendage","none","unassisted","unassisted","SD",0.7746,0.7746,141.36470364,0.49704275862069,0.0250068965517241,30,0.037558295,0.79766226,58.9186489680693,0.74572826855025,0.0082,0,0.0082,0.0174566711584243,0.729909591848804,1,1,0,1,0,1,0.1157,NA,NA,NA
"Eulobus californicus","EULCAL","Onagraceae","forb","native","no appendage","none","unknown","unknown","CBG",2.5,2.5,175.41328802,0.520065452475811,0.0267871371656232,91,0.078948867,1.5687359,82.3185808894396,1,0.0114,0,0.0114,0.0179896312499589,0.895508051376773,2,2,1,NA,NA,0,0.2261,NA,NA,NA
"Euphorbia crenulata","EUPCRE","Euphorbiaceae","forb","native","no appendage","none","unknown","unknown","MCL",6.9815,6.9815,207.61023968,0.49744847605225,0.0310304789550073,13.95,0.006418504,1.7991715,75.8146739386968,0.84376265464584,0.0498,0,0.0498,0.0333467054961598,0.887628913112985,2,2,0,1,0,1,0.5647,NA,NA,NA
"Evax multicaulis","EVAMUL","Asteraceae","forb","native","no appendage","none","unassisted","unassisted","SD",0.2145,0.2145,83.59011593,0.486085657370518,0.0430212483399735,13.5,0.05039053,0.74448479,64.6585222260364,1,0,0.0074,0.0074,0.0189759057539588,0.260314712599208,1,1,0,NA,NA,0,0.1157,NA,NA,NA
"Festuca microstachys","FESMIC","Poaceae","grass","native","elongated appendage","awn","adhesive","adhesive","MCL",14.41,10.4777,167.2826448,0.443214971209213,0.0269705694177863,18.0946236566667,0.187196949,15.937735,64.9394969322215,0.2980954491247,0,0,0.021,0.0196632696901335,0.60634654895863,6,6,0,1,1,0,0.5647,NA,NA,NA
"Festuca myuros","FESMYU","Poaceae","grass","invasive","elongated appendage","awn","adhesive","adhesive","MCL/SFREC",7.0416,7.4364,185.0644649,0.443863185723728,0.0246397884996695,28.0767676766667,0.198810935,16.8085172,58.6115645055359,0.150328989826522,0,0,0.0072,0.00868849109436903,0.345014479525108,6,6,0,1,1,1,0.5186,NA,NA,NA
"Festuca octoflora","FESOCT","Poaceae","grass","native","elongated appendage","awn","wind","wind","SD",3.0987,2.4489,132.57835644,0.424991044776119,0.0188835820895522,5.3,0.183597983,9.40576775,70.5533257647913,0.147191818845291,0,0,0.0068,0.00941401234204706,0.241368943510523,5,5,0,1,1,1,0.1157,NA,NA,NA
"Festuca perennis","FESPER","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive","MCL/SFREC",26.31,22.11,230.52193698,0.416038961038961,0.0171969696969697,53.22277778,0.163516489,10.36960935,46.6500518240525,0.278057176512218,0,0,0.014,0.0107823611969314,0.95383902734145,7,6,0,0,1,1,0.4725,NA,NA,NA
"Galium murale","GALMUR","Rubiaceae","forb","invasive","elongated appendage","hairs","adhesive","adhesive","MCL",1.6834,1.6834,146.56354266,0.457485814935929,0.0270911004267215,10.0833333333333,0.02170139,1.134453,80.7745649960455,0.872382258802016,0.0108,0.0306,0.0414,0.0530812491987328,0.618487592750911,6,6,0,1,0,1,0.5625,NA,NA,NA
"Gastridium ventricosum","GASVEN","Poaceae","grass","invasive","elongated appendage","awn","wind","wind","MCL",0.9256,0.9256,145.7809479,0.425358927162766,0.026726268735209,25.14285715,0.161910532,4.0858033,15.7666277370819,0.340255962437158,0,0,0.0192,0.032093782311084,0.253679000534557,5,5,0,1,1,0,0.5527,NA,NA,NA
"Geraea canescens","GERCAN","Asteraceae","forb","native","elongated appendage","hairs","animal","animal","CBG",17.22,17.22,129.7062919,0.448148474178404,0.019474765258216,45,0.112520825,10.23445,140.327531012405,1,0,0.03,0.03,0.0148135273181195,0.268193389150701,6,6,0,NA,NA,1,0.0585,NA,NA,NA
