"Species","new.code","family","group","nat.inv","appendage.type","appendage","disp.cat.all","disp.cat.nat","site","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"Geranium dissectum","GERDIS","Geraniaceae","forb","invasive","no appendage","none","human","animal","SFREC",61.11,61.11,256.28128678,0.484746835443038,0.0378370941111723,17.589457825,0.012141328,2.5214992,82.7410302605761,1,0.053,0,0.053,0.0274310737340016,4.01136157282868,7,6,0,NA,NA,0,0.5684,NA,NA,NA
"Gilia angelensis","GILANG","Polemoniaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",3.2545,3.2545,197.50627622,0.486955196586407,0.025419079548918,38.5,0.010263842,1.0103722,1301.12489793193,0.906701881960084,0.006,0,0.006,0.00756400271441801,1.36332840705885,2,2,1,1,0,1,0.1362,NA,NA,NA
"Gilia capitata","GILCAP","Polemoniaceae","forb","native","no appendage","none","unassisted","unassisted","MCL",9.0258,9.0258,229.26865262,0.483361618798956,0.0254895561357702,24.8,0.032523824,1.8301919,632.196298174988,0.905871301348379,0.0092,0,0.0092,0.00814143729641982,1.52230162263476,1,1,1,1,0,0,0.5647,NA,NA,NA
"Gilia latiflora ssp. davyi","GILLAT","Polemoniaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",2.1525,2.1525,181.43046294,0.511631248129303,0.0284705178090392,20,0.027707757,1.074628415,551.691342253974,0.84394778316736,0.0068,0,0.0068,0.0102298932313565,1.01023013713664,1,1,1,1,0,1,0.0646,NA,NA,NA
"Gilia tricolor","GILTRI","Polemoniaceae","forb","native","no appendage","none","unassisted","unassisted","MCL",3.975,3.975,209.5793946,0.448650154798762,0.0284613003095975,12.325,0.02884708,1.20535634,1182.45039289353,0.867879219659324,0.0098,0,0.0098,0.0127095531343165,1.49010326269412,1,1,1,1,0,1,0.5647,NA,NA,NA
"Helianthus annuus","HELANN","Asteraceae","forb","native","no appendage","none","human","adhesive","SS",55.59,55.59,204.36648068,0.511899070385126,0.0213227091633466,223.5192857,0.083973793,4.3406122,19.7767108087378,1,0,0.1474,0.1474,0.103298733630409,2.52147881289667,7,6,0,NA,NA,0,NA,0.42,0.27,0.31
"Helianthus deserticola","HELDES","Asteraceae","forb","native","no appendage","none","unknown","unknown","GRIN",30.4,30.4,204.93588216,0.569720575783235,0.036734405870731,25,0.123533951,5.3443373,34.7869042198544,1,0,0.0888,0.0888,0.0767760783999962,1.35611638601228,2,2,0,NA,NA,0,0.0787,NA,NA,NA
"Helianthus niveus","HELNIV","Asteraceae","forb","native","no appendage","none","unknown","unknown","GRIN",24.275,24.275,199.35151554,0.547508509604212,0.0394169286332046,126.492,0.1087438565,4.551106425,67.3956507679138,1,0,0.0903,0.0903,0.0731355584241388,1.38239951303784,2,2,0,NA,NA,0,0.04185,NA,NA,NA
"Helianthus petiolaris ssp. fallax","HELPET","Asteraceae","forb","native","no appendage","none","unknown","unknown","GRIN",21.79,21.79,203.91999794,0.566558372952985,0.0394479661912309,182.88,0.104718353,3.8753092,15.6243831742092,1,0,0.0752,0.0752,0.0710024555330599,1.56421855861833,2,2,0,NA,NA,0,0.2399,0.33,0.23,0.45
"Heliomeris longifolia var. annua","HELLON","Asteraceae","forb","native","no appendage","none","unknown","unknown","GRIN",3.582,3.582,193.419783,0.566835138387485,0.0382851985559567,43,0.11710632,2.2135129,49.8188106403937,1,0,0.0308,0.0308,0.0526538623642398,0.97698569191635,2,2,0,NA,NA,0,0.1818,NA,NA,NA
"Hemizonia congesta","HEMCON","Asteraceae","forb","native","no appendage","none","unassisted","unassisted","MCL",14.16,14.16,221.72929666,0.490171065476764,0.0325950101099159,37.7,0.064666027,2.61012835,54.9342569573233,1,0,0.044,0.044,0.039716060496081,1.60114120661052,2,2,0,NA,NA,0,0.5546,NA,NA,NA
"Herniaria hirsuta","HERHIR","Caryophyllaceae","forb","invasive","no appendage","none","adhesive","adhesive","CP",0.752666666666667,0.752666666666667,143.88176442,NA,NA,12,0.009535146,0.620404,NA,1.98024451217205,0.0078,0,0.0078,0.01585714743132,0.848702784480325,6,6,0,0,1,0,0.2077,NA,NA,NA
"Hesperocnide tenella","HESTEN","Urticaceae","forb","native","no appendage","none","unknown","unknown","CBG",1.2366,1.2366,119.5534639,0.496316267797637,0.0349136625265071,25,0.053532461,1.1632573,58.1850981234685,1,0.0444,0,0.0444,0.0878883986779289,0.605018814539071,2,2,0,0,0,1,0.3503,NA,NA,NA
"Heterotheca sessiliflora","HETSES","Asteraceae","forb","native","elongated appendage","plume","wind","wind","CBG",7.088,5.5601,96.962202898,0.479905714285714,0.0339457142857143,45,0.114250404,3.6958352,83.5106519623499,1,0,0.0428,0.0428,0.0409246723174396,0.0882148521910369,5,5,0,NA,NA,1,0.2765,NA,NA,NA
"Holocarpha virgata","HOLVIR","Asteraceae","forb","native","no appendage","none","adhesive","adhesive","MCL",19.125,19.125,204.95599811,0.556614654002714,0.042072591587517,31.65,0.091028303,3.5628914,69.5818903894017,1,0,0.0797,0.0797,0.0714461851371399,1.51920547041522,6,6,0,NA,NA,0,0.5445,NA,NA,NA
"Hordeum intercedens","HORINT","Poaceae","grass","native","elongated appendage","awn","adhesive","adhesive","SS",29.79,27.52,207.72274356,0.41680471487735,0.0228767123287671,22.5,0.187236866,15.572139,66.005540587893,0.340143316675377,0,0,0.0808,0.0753441380805909,0.926394824548377,6,6,0,0,1,1,0.2358,NA,NA,NA
"Hordeum murinum","HORMUR","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive","SAC",95.16,74.55,206.25939804,0.409963057686843,0.0231969309462916,32.22692308,0.202932539,49.2179775,68.4781630419138,0.305125734870425,0,0,0.0562,0.0251628139279309,1.05712007697647,7,6,0,0,1,1,0.2554,0.01,0.24,0.75
"Hypochaeris glabra","HYPGLA","Asteraceae","forb","invasive","elongated appendage","plume","human","wind","MCL",7.47205,4.95215,128.48954497,0.489033834586466,0.0331315789473684,27.25792685,0.1519799385,3.3302399,79.5266436065243,1,0,0.0051,0.0051,0.00884129789593449,0.112616064900777,7,5,0,NA,NA,1,0.5647,NA,NA,NA
"Laennecia coulteri","LAECOU","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","CBG",0.3259,0.3259,74.556758274,0.537793572311496,0.0363813349814586,80,0.071092364,0.97935196,52.3688859058532,1,0,8e-04,8e-04,0.0018804951889176,0.267324980063413,5,5,0,NA,NA,0,0.199,NA,NA,NA
"Lagophylla minor","LAGMIN","Asteraceae","forb","native","no appendage","none","unknown","unknown","MCL",3.4951,3.4951,110.043450122,0.512894736842105,0.0490853658536585,12.35,0.110842764,2.38190825,81.5558437961532,1,0,0.0326,0.0326,0.0553120055216991,0.788839980102933,2,2,0,NA,NA,0,0.5546,NA,NA,NA
"Langloisia setosissima ssp. punctata","LANSET","Polemoniaceae","forb","native","no appendage","none","unknown","unknown","CBG",2.7034,2.7034,166.32410794,0.454990366088632,0.0287971373520506,8.89,0.05194944,1.44243935,760.616796963225,0.890683935967576,0.0264,0,0.0264,0.0381885156110963,0.907827727623044,2,2,0,NA,NA,0,0.0813,NA,NA,NA
"Lasthenia californica","LASCAL","Asteraceae","forb","native","elongated appendage","pappus","ant","ant","MCL/UCD",1.9536,1.9536,146.18801264,0.470237654320988,0.0421111111111111,11.3699358975,0.141041159,2.713775139,52.2976466642428,1,0,0.0138,0.0138,0.0269489417031471,0.254858725178862,3,3,0,NA,NA,1,NA,NA,NA,NA
"Lasthenia californica","LASCAL","Asteraceae","forb","native","elongated appendage","pappus","ant","ant","CP",1.1198,1.1198,117.26036284,NA,NA,11.3699358975,0.147675159,2.3619666,33.1690529096539,1,0,0.0266,0.0266,0.0689947161200733,0.403557301028376,3,3,0,NA,NA,1,0.2077,NA,NA,NA
"Lasthenia coronaria","LASCOR","Asteraceae","forb","native","flat appendage","pappus","unassisted","unassisted","CBG",1.0479,1.0479,105.76210435,0.51165429808287,0.0324242424242424,40,0.153914285,2.18717045,27.4411810031862,1,0,0.0084,0.0084,0.024301782310073,0.28775528519465,2,2,0,NA,NA,1,0.1362,NA,NA,NA
"Lasthenia minor","LASMIN","Asteraceae","forb","native","flat appendage","pappus","unassisted","unassisted","CP",1.0278,1.0278,99.676797772,0.479605543710021,0.0410047974413646,35,0.1315004,2.180910071,56.7365733744337,1,0,0.0146,0.0146,0.0378071987356092,0.252571208321303,2,2,0,NA,NA,1,0.189,NA,NA,NA
"Layia glandulosa","LAYGLA","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","CBG",8.92,6.747,147.47159274,0.55680421172453,0.0250682982356289,31.5,0.138536509,3.990527222,76.8814301029718,1,0,0.0386,0.0386,0.0478012675724658,0.269423070063197,5,5,0,NA,NA,1,0.1846,NA,NA,NA
"Layia platyglossa","LAYPLA","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","CBG/SS",5.9047,5.9047,162.24628412,0.523498513379584,0.0389626693095474,23.2333333333333,0.126374029,3.37455465,68.9364506335828,1,0,0.0342,0.0342,0.0451318824867129,0.393344153545058,5,5,0,NA,NA,1,0.2126,NA,NA,NA
"Lepidium dictyotum","LEPDIC","Brassicaceae","forb","native","no appendage","none","unassisted","unassisted","CP",4.8807,4.8807,212.45796858,0.478552743815752,0.0351464316178561,7.5,0.073090154,1.5288527,2855.11240091622,1,0.0238,0,0.0238,0.045131881806049,1.48096661595933,1,1,1,NA,NA,1,0.1917,NA,NA,NA
"Lepidium lasiocarpum","LEPLAS","Brassicaceae","forb","native","balloon structure","balloon","unassisted","unassisted","SD",12.564,3.2491,189.21830114,0.504785333751175,0.0421059229081793,20,0.07316912,1.5222056,100.166223198873,1,0.0192,0,0.0192,0.0373505220435778,0.926447509417534,1,1,1,NA,NA,0,0.1157,0.24,0.26,0.5
"Lepidium nitidum","LEPNIT","Brassicaceae","forb","native","no appendage","none","unassisted","unassisted","MCL/SS",9.28983333333333,9.28983333333333,240.85043016,0.457175897748022,0.037522824102252,6.14625,0.070917447,1.9564882,2820.49070516819,0.995977247252415,0.0098,0,0.0098,0.0141760400909986,1.66172013137529,1,1,1,0,0,0,0.5647,NA,NA,NA
"Lepidium nitidum","LEPNIT","Brassicaceae","forb","native","no appendage","none","unassisted","unassisted","CP",5.9153,5.9153,215.52090222,0.471942733990148,0.0342487684729064,6.14625,0.061502107,1.72605255,2981.86158886236,0.96127147263311,0.0274,0,0.0274,0.0379329320841308,1.35868242630174,1,1,1,0,0,0,0.1874,NA,NA,NA
"Leptosiphon montanus","LEPMON","Polemoniaceae","forb","native","no appendage","none","unknown","unknown","CBG",12.4971,12.4971,165.3443639,0.459900682805711,0.0494382371198014,35,0.081731777,2.71869895,794.728037843036,0.922478827173845,0.0128,0,0.0128,0.0146621348146183,1.37672945503035,2,2,1,1,0,1,0.1883,NA,NA,NA
"Leptosyne bigelovii","LEPBIG","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","CBG",12.6029,12.6029,109.02356739,0.498761517615176,0.018260162601626,20,0.128827387,7.6442634,81.2942469559015,1,0.0098,0.0292,0.039,0.0325952471148484,0.335161389986559,5,5,0,NA,NA,1,0.164,NA,NA,NA
"Lesquerella gordonii","LESGOR","Brassicaceae","forb","native","no appendage","none","unknown","unknown","SD",7.4293,7.4293,183.3337932,0.525044722719141,0.0404472271914132,41,0.06296793,1.5864617,605.57979228796,1,0.0162,0,0.0162,0.0240505424822547,1.46011615475281,2,2,1,NA,NA,0,0.1157,0.27,0.23,0.5
"Linanthus bigelovii","LINBIG","Polemoniaceae","forb","native","balloon structure","balloon","unknown","unknown","CBG",1.6802,1.6802,140.54249428,0.509086727989488,0.0221090670170828,12.5,0.023408906,1.5155583,99.2389619255491,0.920478936094802,0.0116,0,0.0116,0.0113318140366477,0.389827927233729,2,2,0,1,0,0,0.3429,NA,NA,NA
"Linanthus dichotomus","LINDIC","Polemoniaceae","forb","native","no appendage","none","unknown","unknown","MCL/CBG",0.6679,0.6679,124.08085954,0.535685295035904,0.0310615048392132,8.26,0.024440044,0.86856557,324.582243280478,0.887612380424133,0.0092,0,0.0092,0.0158478362423788,0.482287547533377,2,2,1,1,0,1,0.0325,NA,NA,NA
"Loeseliastrum matthewsii","LOEMAT","Polemoniaceae","forb","native","no appendage","none","unknown","unknown","CBG",4.2732,4.2732,229.67076428,0.464758138119866,0.0200730149072102,8.89,0.017355238,1.3161427,1567.08542966811,1,0.0088,0,0.0088,0.00927945202642459,1.19665981028277,2,2,1,1,0,1,0.0374,NA,NA,NA
"Logfia filaginoides","LOGFIL","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","MCL",0.3325,0.3325,114.19515778,0.503667189952904,0.051309262166405,13.825,0.060369347,0.7311904,30.1225247942033,1,0,0.0064,0.0064,0.0182812688034633,0.44792647895085,5,5,0,NA,NA,1,0.5647,NA,NA,NA
"Logfia gallica","LOGGAL","Asteraceae","forb","invasive","no appendage","none","wind","wind","SFREC",0.2117,0.2117,94.72574719,0.473822843822844,0.0491763791763792,13.3,0.023780556,0.833113925,68.6418014161783,1,0,0.0062,0.0062,0.0110599870148617,0.145168644203722,5,5,0,NA,NA,1,0.4843,NA,NA,NA
"Lupinus bicolor","LUPBIC","Fabaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",44.34,44.34,222.63065678,0.440651527439849,0.0672262773722628,20.21818965,0.041881024,2.6854631,89.2781770691807,0.838871114331505,0.056,0,0.056,0.041432541976714,3.17422400674923,1,1,0,0,0,1,0.1294,NA,NA,NA
"Lupinus hirsutissimus","LUPHIR","Fabaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",237.99,237.99,255.17921777,0.446181818181818,0.0514952978056426,60,0.023347566,4.3051606,41.5562469067702,0.974066712787111,0.0944,0,0.0944,0.034469654964231,6.09673458905657,2,2,0,0,0,1,0.2309,0.1,0.41,0.48
"Lupinus kingii","LUPKIN","Fabaceae","forb","native","no appendage","none","unassisted","unassisted","GRIN",97.41,97.41,282.74851034,0.404975907484741,0.0535078702216511,6.14,0.034920559,3.0865098,11.5181524149907,0.968669125165984,0.055,0,0.055,0.032070460784882,4.82653695720622,1,1,0,0,0,0,0.3202,NA,NA,NA
"Lupinus microcarpus","LUPMIC","Fabaceae","forb","native","no appendage","none","unassisted","unassisted","MCL",244.71,244.71,293.17804552,0.449784978800727,0.0715081768625076,18.764,0.055994538,9.014993986,14.3081699981974,0.949157274324738,0.0482,0,0.0482,0.00857667463860211,4.08188534222271,1,1,0,0,0,1,0.5511,NA,NA,NA
"Lupinus sparsiflorus","LUPSPA","Fabaceae","forb","native","no appendage","none","unassisted","unassisted","CBG/SS",66.1,66.1,295.53601452,0.450672077922078,0.0649123376623377,27.5,0.028463935,2.9048202,40.8625948285071,0.984000087865546,0.0472,0,0.0472,0.0275935866892279,4.06899654002328,1,1,0,0,0,0,0.20695,NA,NA,NA
"Lupinus succulentus","LUPSUC","Fabaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",261.08,261.08,292.4669172,0.4487379708551,0.0648886444872147,31.6,0.024253188,4.36276945,14.558650365619,0.982022598454418,0.1264,0,0.1264,0.0459313207565819,6.54282565583983,2,2,0,0,0,0,0.2085,0.05,0.38,0.57
"Machaeranthera tagetina","MACTAG","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","GRIN",6.6608,6.81065,193.08593682,0.547243687252814,0.0436477030727107,51,0.1225989245,3.0185609625,44.7762851993295,1,0,0.0842,0.0842,0.152004175962706,0.461535434042035,5,5,0,NA,NA,1,0.22995,NA,NA,NA
"Madia elegans","MADELE","Asteraceae","forb","native","no appendage","none","adhesive","adhesive","CBG/HED",20.85,20.85,243.71057808,0.52214530714063,0.0437979420018709,32.9,0.110096657,3.8487205,56.867005031857,1,0,0.0692,0.0692,0.0804929462472525,1.57633877544954,6,6,0,NA,NA,0,0.2261,NA,NA,NA
"Madia gracilis","MADGRA","Asteraceae","forb","native","elongated appendage","hairs","adhesive","adhesive","SFREC",27.865,20.31,206.63966363,0.509809820888232,0.0412843443164998,33.9,0.120492575,4.120147325,77.285306736201,1,0,0.0782,0.0782,0.111850673746882,2.04329329561688,6,6,0,NA,NA,1,0.4843,NA,NA,NA
"Malacothrix coulteri","MALCOU","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","CP",2.6361,2.5805,152.94660316,0.525384144475054,0.0421426385062749,75,0.115946841,2.2822005,93.433375250943,1,0.0126,0.0232,0.0358,0.0564937542761866,0.579402357622723,5,5,0,NA,NA,1,0.1917,NA,NA,NA
"Malacothrix fendleri","MALFEN","Asteraceae","forb","native","no appendage","pappus","animal","animal","GRIN",1.7004,1.7004,131.40684388,0.549054400455711,0.0333466248931928,17.5,0.114289556,1.9897243,83.4144093253156,1,0.0066,0.0188,0.0254,0.045131880775004,0.533966814848006,6,6,0,NA,NA,1,0.194725,NA,NA,NA
"Malacothrix glabrata","MALGLA","Asteraceae","forb","native","elongated appendage","pappus","animal","animal","CBG/SS",2.5117,2.5117,160.64965352,0.508803232825614,0.0330867267640659,38.106,0.13853252,2.8848784,80.1910694441076,1,0.0068,0.0164,0.0232,0.0382138566672688,0.481991291649156,6,6,0,NA,NA,1,0.057,NA,NA,NA
"Malva parviflora","MALPAR","Malvaceae","forb","invasive","no appendage","none","unassisted","unassisted","DW",21.22,17.41,212.3810596,0.462063752875452,0.0409891554387118,65,0.01274129,1.7991717,98.2316867680583,0.392788110911985,0.0482,0,0.0482,0.0368704542057484,1.31127403756255,2,2,0,1,1,1,0.0572,0.15,0.25,0.61
"Matthiola parviflora","MATPAR","Brassicaceae","forb","invasive","no appendage","none","unassisted","unassisted","SD",2.2556,2.2556,169.25565046,0.518657274295572,0.0591403105232892,22.7,0.046698205,1.21643485,65.7130367686147,0.943501007350429,0.042,0,0.042,0.0723488176282511,0.847050492899193,1,1,1,NA,NA,0,0.1157,NA,NA,NA
"Medicago polymorpha","MEDPOL","Fabaceae","forb","invasive","elongated appendage","hooks","adhesive","adhesive","MCL",165.51,16.2732,263.67984072,0.514376801152738,0.0576512968299712,30.707585775,0.070489563,2.61899125,112.85175204845,1,0.0298,0.0734,0.1032,0.10831650788922,1.04637467306718,6,6,0,0,0,0,0.535266666666667,0.07,0.37,0.56
"Melilotus indicus","MELIND","Fabaceae","forb","invasive","no appendage","none","unassisted","unassisted","MD",15.96,15.96,242.20225448,0.433438107582631,0.0281691510045366,35,0.00870701,1.7238367,10.9630004320479,0.921352022535598,0.0652,0,0.0652,0.0471570245016906,2.26813403000861,2,2,0,0,0,1,0.0605,0.05,0.31,0.64
"Mentzelia albicaulis","MENALB","Loasaceae","forb","native","no appendage","none","unassisted","unassisted","DW",3.5497,3.5497,167.85001418,0.458397343343921,0.0364423909904707,23.5,0.013388442,1.4623809,68.7450766887234,0.890466094527189,0.0162,0,0.0162,0.0146814572379448,0.816581282312667,1,1,0,1,0,1,0.0583,0.35,0.19,0.46
"Mentzelia involucrata","MENINV","Loasaceae","forb","native","no appendage","none","unassisted","unassisted","DW",16.39,16.39,220.33555584,0.445250399573788,0.0420564730953649,21,0.051316917,2.41735975,42.35568884012,0.920124045491798,0.0418,0,0.0418,0.037881779232132,1.59698128250244,1,1,0,1,0,1,0.0652,NA,NA,NA
"Mentzelia micrantha","MENMIC","Loasaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",7.6805,7.6805,198.22747972,0.516007388462631,0.0291673770957658,45,0.043801189,2.0561961,33.4380680276653,0.835750675464898,0.031,0,0.031,0.0271141136833561,1.12828214713158,2,2,0,1,0,1,0.1473,NA,NA,NA
"Micropus californicus","MICCAL","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","MCL/SFREC/CBG",8.4658,0.6622,92.842927094,0.438681898066784,0.0198031634446397,17.5,0.004977853,3.9971742,31.7347177120646,1,0,0.0292,0.0292,0.00859094548474322,0.221075351582092,5,5,0,NA,NA,NA,0.33575,NA,NA,NA
"Microseris douglasii","MICDOU","Asteraceae","forb","native","elongated appendage","pappus","adhesive","adhesive","MCL",30.65,21.87,157.79505316,0.503683473389356,0.0233648459383754,9.0964285725,0.156958902,5.8317974,93.9643460695509,1,0.0156,0.062,0.0776,0.0833865217916114,0.619429665056979,6,6,0,NA,NA,1,0.5587,NA,NA,NA
"Microseris douglasii","MICDOU","Asteraceae","forb","native","elongated appendage","pappus","adhesive","adhesive","CP",9.9548,9.2356,193.0888962,NA,NA,9.0964285725,0.152980718,4.68405,101.857559384249,1,0.0468,0.0832,0.13,0.162976243065878,0.501325247560942,6,6,0,NA,NA,1,0.1893,NA,NA,NA
"Microseris elegans","MICELE","Asteraceae","forb","native","elongated appendage","pappus","adhesive","adhesive","CP",4.5395,4.3479,148.16796414,0.472405165456013,0.0356362658057573,6.96,0.138811599,3.329132125,84.7232041509737,1,0.027,0.06588,0.09288,0.133074577210979,0.320807687681508,6,6,0,NA,NA,1,0.1901,NA,NA,NA
"Microsteris gracilis","MICGRA","Polemoniaceae","forb","native","no appendage","none","unknown","unknown","MCL/CBG",8.87675,8.87675,165.90937754,0.470654652445752,0.0295991173225451,7.25,0.076516062,2.24010175,382.2532049577,0.93502551841004,0.0426,0,0.0426,0.0589760184957654,1.24923548139558,2,2,1,1,0,1,0.36225,NA,NA,NA
"Minuartia douglasii","MINDOU","Caryophyllaceae","forb","native","no appendage","none","unassisted","unassisted","MCL/CBG",2.5506,2.5506,122.8000637,0.424280946601942,0.0182797330097087,8.85,0.05803167,1.49118525,62.3327072388421,1.89856883833403,0.0098,0,0.0098,0.01436014463186,0.565491525495578,1,1,0,1,1,0,0.37695,NA,NA,NA
"Mohavea confertiflora","MOHCON","Plantaginaceae","forb","native","flat appendage","","wind","wind","CBG",1.7053,1.7053,116.1965825,0.558076196473552,0.0230793450881612,22.5,0.044969176,1.672875,128.999785304777,0.873656746712346,0.03,0,0.03,0.0362020449159495,0.369427286970025,5,5,0,1,0,0,0.0355,NA,NA,NA
"Monarda citriodora var. austromontana","MONCIT","Lamiaceae","forb","native","no appendage","none","ant","ant","GRIN",4.1776,4.1776,163.90651624,0.536721453287197,0.0337370242214533,65.48,0.024195067,1.3161428,12.6972862951529,0.846851811955112,0.0156,0,0.0156,0.0176898837508155,1.1999799988014,3,3,0,1,0,1,0.2192,NA,NA,NA
"Monardella breweri ssp. lanceolata","MONBRE","Lamiaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",4.402,4.402,166.54839516,0.593591848112243,0.0375785920029733,37,0.040552569,1.3693202,146.156952326655,0.945502579009426,0.0256,0.0314,0.057,0.07266998142925,1.33237873431527,2,2,1,1,0,0,0.399,NA,NA,NA
"Monolopia lanceolata","MONLAN","Asteraceae","forb","native","elongated appendage","hairs","unassisted","unassisted","CP",10.4176,10.4176,158.65854398,0.527965945515138,0.0321317020079012,36,0.090530506,2.993449125,75.849037162221,1,0,0.0692,0.0692,0.0725500116486297,1.09631531206822,2,2,0,NA,NA,1,0.1917,NA,NA,NA
"Monoptilon bellioides","MONBEL","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","SD",1.6732,1.6732,114.43122292,0.507213432353891,0.0320083952211818,25,0.097513961,1.7570728,59.8785938930829,1,0,0.0102,0.0102,0.0200150081164782,0.248985911424164,5,5,0,NA,NA,1,0.1157,NA,NA,NA
"Muhlenbergia microsperma","MUHMIC","Poaceae","grass","native","elongated appendage","awn","adhesive","adhesive","CBG",1.7813,1.7813,179.95187774,0.408617021276596,0.0221780515117581,35,0.178878154,7.8879935,33.0902357579332,0.415835292906165,0,0,0.0064,0.00789191314673365,0.252302120521917,6,6,0,1,1,0,0.2049,NA,NA,NA
"Navarretia atractyloides","NAVATR","Polemoniaceae","forb","native","no appendage","none","ballistic","ballistic","CBG",1.853,1.853,166.31117078,0.486407953816549,0.0329923027581783,17,0.022307177,0.89515432,698.820766909493,1,0.029,0,0.029,0.0474211790507621,1.26215599948451,1,1,1,1,0,1,0.2034,NA,NA,NA
"Navarretia hamata","NAVHAM","Polemoniaceae","forb","native","no appendage","none","ballistic","ballistic","CBG",1.3592,1.3592,161.82431672,0.453612363168062,0.0365936896329684,19,0.025605771,0.96605764,488.14792118592,0.850730838984579,0.0058,0,0.0058,0.0090890592251718,0.79886214571034,1,1,1,1,0,1,0.2041,NA,NA,NA
