Species,new.code,family,group,nat.inv,FunGroup,appendage.type,appendage,disp.cat.all,disp.cat.nat,site,new.mass,morph.mass.mg,chem.mass.mg,set.time.mpsec,prop.C,prop.N,height.cm,shape,size.mm,coat.perm.perc,coat.thick,fruit.thick,both.thick,coat.thick.per.width,wing.loading,ldd.all,ldd.natural
Achyrachaena mollis,ACHMOL,Asteraceae,forb,native,native forb,flat appendage,pappus,wind,wind,MCL,36.535,40.295,36.535,208.2623491,0.490353709,0.035456731,14.25,0.15091969,10.22004758,82.8800022,0,0.0306,0.0306,0.024486446,0.398565083,5,5
Acmispon wrangelianus,ACMWRA,Fabaceae,forb,native,native forb,no appendage,none,ant,ant,MCL,23.06,23.06,23.06,237.2913509,0.436077218,0.052882405,8.919166667,0.033233962,2.344241,28.9427282,0.0414,0,0.0414,0.031668813,2.261594896,3,3
Agoseris heterophylla,AGOHET,Asteraceae,forb,native,native forb,elongated appendage,plume,wind,wind,MCL,4.1812,4.1812,4.1812,173.1200608,0.424710336,0.038400263,17.97333333,0.151317905,2.9912335,100.0655541,0,0.0686,0.0686,0.131188432,0.238834051,5,5
Amsinckia menziesii,AMSMEN,Boraginaceae,forb,native,native forb,no appendage,none,ant,ant,SFREC,27.17,27.17,27.17,284.8417264,0.480205329,0.016706076,38.2825,0.033777884,3.20837495,77.02403014,0.0154,0.1144,0.1298,0.07161514,1.574082261,3,3
Anagallis arvensis,ANAARV,Primulaceae,forb,non-native,non-native forb,no appendage,none,human,unassisted,MCL,3.7639,3.7639,3.7639,280.0319352,0.505330017,0.022985075,11.72332445,0.009227476,1.174336,31.53056855,0.0264,0,0.0264,0.028234164,1.209706853,7,1
Ancistrocarphus filagineus,ANCFIL,Asteraceae,forb,native,native forb,no appendage,none,adhesive,adhesive,MCL,3.5959,3.5959,3.5959,232.4088882,0.496955563,0.057248661,3.4,0.074514625,1.9897243,79.42335123,0,0.0084,0.0084,0.010029307,0.842587187,6,6
Astragalus gambelianus,ASTGAM,Fabaceae,forb,native,native forb,balloon structure,balloon,unassisted,unassisted,MCL,13.0888,18.51,13.0888,233.824612,0.429805878,0.053521165,8.303333333,0.048422553,2.01852885,67.69632162,0.03,0,0.03,0.031783015,1.131698901,1,1
Athysanus pusillus,ATHPUS,Brassicaceae,forb,native,native forb,balloon structure,balloon,unassisted,unassisted,MCL,3.8082,8.1267,3.8082,141.2479477,0.450639148,0.025332889,16.6,0.081027416,2.74528775,147.4026994,0.011,0.0316,0.0426,0.047122991,0.658565192,1,1
Avena fatua,AVEFAT,Poaceae,grass,non-native,non-native grass,elongated appendage,hairs,human,adhesive,MCL/SFREC,234.36,234.36,123.69,222.4223363,0.425810377,0.017772267,66.00384,0.136734249,14.840948,53.92336882,0,0,0.0406,0.012689435,2.479724234,7,6
Bromus diandrus,BRODIA,Poaceae,grass,non-native,non-native grass,elongated appendage,awn,adhesive,adhesive,SAC,134.67,134.67,98.11,264.1343871,0.424423756,0.013852327,51.10514717,0.191732042,71.4904825,91.70272298,0,0,0.0294,0.0054604,0.707002989,6,6
Bromus hordeaceus,BROHOR,Poaceae,grass,non-native,non-native grass,elongated appendage,awn,human,adhesive,MCL/SFREC,22.14,22.14,15.9831,192.8669341,0.403233106,0.018775573,35.84708333,0.16111001,14.05215,188.9839102,0,0,0.0206,0.009869605,0.414180864,7,6
Bromus madritensis,BROMAD,Poaceae,grass,non-native,non-native grass,elongated appendage,awn,human,adhesive,MCL/SFREC,26.31,26.31,21.38,157.4549096,0.421442769,0.027876243,22.56371428,0.186234022,31.968532,165.5378868,0,0,0.0238,0.009072119,0.408813109,7,6
Calycadenia pauciflora,CALPAU,Asteraceae,forb,native,native forb,no appendage,none,wind,wind,MCL,9.496,9.496,9.496,126.421605,0.452674213,0.027870534,30,0.068273922,3.1020199,64.45231539,0.0098,0.0514,0.0612,0.044263962,0.796371738,5,5
Castilleja attenuata,CASATT,Orobanchaceae,forb,native,native forb,no appendage,none,wind,wind,MCL,1.036,1.036,1.036,141.240071,0.586310372,0.042949327,17.1,0.027432836,1.14774736,25.98292706,0.0154,0,0.0154,0.020685446,0.418029864,5,5
Centaurea melitensis,CENMEL,Asteraceae,forb,non-native,non-native forb,elongated appendage,pappus,animal,animal,MCL,13.9167,14.81,13.9167,195.8421299,0.538514589,0.031013263,57.76190477,0.07425439,2.8671528,37.45006959,0.0348,0.0242,0.059,0.048768883,0.52501834,6,6
Centaurea solstitialis,CENSOL,Asteraceae,forb,non-native,non-native forb,elongated appendage,pappus,human,adhesive,MCL,16.1888,16.34,16.1888,220.843177,0.47967937,0.017326776,73.375,0.080182779,2.8793392,40.35104091,0,0.0396,0.0396,0.039242344,1.153396819,7,6
Clarkia gracilis,CLAGRA,Onagraceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,3.8749,3.8749,3.8749,164.2330348,0.517165648,0.063985064,42.21666667,0.087029716,2.0606276,58.26531005,0.0142,0,0.0142,0.018415883,0.888981452,2,2
Clarkia purpurea,CLAPUR,Onagraceae,forb,native,native forb,no appendage,none,ant,ant,MCL,4.5448,4.5448,4.5448,198.2506768,0.538604396,0.056545788,25.9,0.027965908,1.5864617,54.31966114,0.0186,0,0.0186,0.018169978,1.02621091,3,3
Collinsia sparsiflora,COLSPA,Plantaginaceae,forb,native,native forb,flat appendage,wing,unassisted,unassisted,MCL,11.0514,11.0514,11.0514,190.2469888,0.413856675,0.020105041,12.73,0.045430203,2.5237149,114.1677776,0.0318,0,0.0318,0.026285601,1.024319739,1,1
Daucus pusillus,DAUPUS,Apiaceae,forb,native,native forb,elongated appendage,prickles,adhesive,adhesive,GRIN,19.9556,19.9556,19.9556,179.0958206,0.48042639,0.028571017,17.1888889,0.049685107,4.89011295,126.1317543,0,0.0822,0.0822,0.037024357,0.716964459,6,6
Elymus caput-medusae,ELYCAP,Poaceae,grass,non-native,non-native grass,elongated appendage,awn,animal,animal,MCL/SFREC,33.06,33.06,19.62,181.8178605,0.388742747,0.014677627,34.9290826,0.154303439,77.909447,56.50852596,0,0,0.0178,0.001370433,0.291630069,6,6
Epilobium brachycarpum,EPIBRA,Onagraceae,forb,native,native forb,no appendage,none,wind,wind,MCL/CBG,1.8489,1.8489,1.8489,154.8916386,0.540336964,0.044955752,47.825,0.075833817,1.44687075,59.67619401,0.0092,0,0.0092,0.018536309,0.707788311,5,5
Erodium cicutarium,EROCIC,Geraniaceae,forb,non-native,non-native forb,elongated appendage,awn,human,adhesive,MD,11.9066,27.82,11.9066,274.0276119,0.463152882,0.05320802,13.60623076,0.104680768,2.6278539,22.68035535,0.02072,0.0298,0.05052,0.061292009,0.605957043,7,6
Euphorbia crenulata,EUPCRE,Euphorbiaceae,forb,native,native forb,no appendage,none,unknown,unknown,MCL,6.9815,6.9815,6.9815,207.6102397,0.497448476,0.031030479,13.95,0.006418504,1.7991715,75.81467394,0.0498,0,0.0498,0.033346705,0.887628913,2,2
Festuca myuros,FESMYU,Poaceae,grass,non-native,non-native grass,elongated appendage,awn,adhesive,adhesive,MCL/SFREC,7.0416,7.0416,7.4364,185.0644649,0.443863186,0.024639788,28.07676768,0.198810935,16.8085172,58.61156451,0,0,0.0072,0.008688491,0.34501448,6,6
Festuca perennis,FESPER,Poaceae,grass,non-native,non-native grass,elongated appendage,awn,human,adhesive,MCL/SFREC,26.31,26.31,22.11,230.521937,0.416038961,0.01719697,53.22277778,0.163516489,10.36960935,46.65005182,0,0,0.014,0.010782361,0.953839027,7,6
Galium murale,GALMUR,Rubiaceae,forb,non-native,non-native forb,elongated appendage,hairs,adhesive,adhesive,MCL,1.6834,1.6834,1.6834,146.5635427,0.457485815,0.0270911,10.08333333,0.02170139,1.134453,80.774565,0.0108,0.0306,0.0414,0.053081249,0.618487593,6,6
Gastridium ventricosum,GASVEN,Poaceae,grass,non-native,non-native grass,elongated appendage,awn,wind,wind,MCL,0.9256,0.9256,0.9256,145.7809479,0.425358927,0.026726269,25.14285715,0.161910532,4.0858033,15.76662774,0,0,0.0192,0.032093782,0.253679001,5,5
Geranium dissectum,GERDIS,Geraniaceae,forb,non-native,non-native forb,no appendage,none,human,animal,SFREC,61.11,61.11,61.11,256.2812868,0.484746835,0.037837094,17.58945783,0.012141328,2.5214992,82.74103026,0.053,0,0.053,0.027431074,4.011361573,7,6
Hemizonia congesta,HEMCON,Asteraceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,14.16,14.16,14.16,221.7292967,0.490171065,0.03259501,37.7,0.064666027,2.61012835,54.93425696,0,0.044,0.044,0.03971606,1.601141207,2,2
Holocarpha virgata,HOLVIR,Asteraceae,forb,native,native forb,no appendage,none,adhesive,adhesive,MCL,19.125,19.125,19.125,204.9559981,0.556614654,0.042072592,31.65,0.091028303,3.5628914,69.58189039,0,0.0797,0.0797,0.071446185,1.51920547,6,6
Hypochaeris glabra,HYPGLA,Asteraceae,forb,non-native,non-native forb,elongated appendage,plume,human,wind,MCL,4.95215,7.47205,4.95215,128.489545,0.489033835,0.033131579,27.25792685,0.151979939,3.3302399,79.52664361,0,0.0051,0.0051,0.008841298,0.112616065,7,5
Lasthenia californica,LASCAL,Asteraceae,forb,native,native forb,elongated appendage,pappus,ant,ant,MCL/UCD,1.9536,1.9536,1.9536,146.1880126,0.470237654,0.042111111,11.3699359,0.141041159,2.713775139,52.29764666,0,0.0138,0.0138,0.026948942,0.254858725,3,3
Lepidium nitidum,LEPNIT,Brassicaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL/SS,9.289833333,9.289833333,9.289833333,240.8504302,0.457175898,0.037522824,6.14625,0.070917447,1.9564882,2820.490705,0.0098,0,0.0098,0.01417604,1.661720131,1,1
Lupinus bicolor,LUPBIC,Fabaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,CBG,44.34,44.34,44.34,222.6306568,0.440651527,0.067226277,20.21818965,0.041881024,2.6854631,89.27817707,0.056,0,0.056,0.041432542,3.174224007,1,1
Lupinus microcarpus,LUPMIC,Fabaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,244.71,244.71,244.71,293.1780455,0.449784979,0.071508177,18.764,0.055994538,9.014993986,14.30817,0.0482,0,0.0482,0.008576675,4.081885342,1,1
Medicago polymorpha,MEDPOL,Fabaceae,forb,non-native,non-native forb,elongated appendage,hooks,adhesive,adhesive,MCL,16.2732,165.51,16.2732,263.6798407,0.514376801,0.057651297,30.70758578,0.070489563,2.61899125,112.851752,0.0298,0.0734,0.1032,0.108316508,1.046374673,6,6
Microseris douglasii,MICDOU,Asteraceae,forb,native,native forb,elongated appendage,pappus,adhesive,adhesive,MCL,21.87,30.65,21.87,157.7950532,0.503683473,0.023364846,9.096428573,0.156958902,5.8317974,93.96434607,0.0156,0.062,0.0776,0.083386522,0.619429665,6,6
Microsteris gracilis,MICGRA,Polemoniaceae,forb,native,native forb,no appendage,none,unknown,unknown,MCL/CBG,8.87675,8.87675,8.87675,165.9093775,0.470654652,0.029599117,7.25,0.076516062,2.24010175,382.253205,0.0426,0,0.0426,0.058976018,1.249235481,2,2
Navarretia pubescens,NAVPUB,Polemoniaceae,forb,native,native forb,no appendage,none,ballistic,ballistic,MCL,7.1503,7.1503,7.1503,186.5269222,0.523120923,0.044922228,11.3,0.070278317,2.0251759,66.40871862,0.0228,0,0.0228,0.025725173,1.375656526,1,1
Plagiobothrys nothofulvus,PLANOT,Boraginaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,SFREC,38.49,38.49,38.49,288.2228627,0.407961766,0.032853528,18.03333333,0.039249021,3.0311166,34.42579708,0.0348,0.081,0.1158,0.074026518,2.529090155,1,1
Plantago erecta,PLAERE,Plantaginaceae,forb,native,native forb,no appendage,none,ant,ant,MCL,19.65,19.65,19.65,228.5702099,0.444843962,0.027299864,6.426666667,0.06830008,2.46167445,1440.39128,0.0142,0,0.0142,0.015331884,2.313894741,3,3
Rigiopappus leptocladus,RIGLEP,Asteraceae,forb,native,native forb,elongated appendage,pappus,wind,wind,MCL,6.395,6.395,6.395,201.6088378,0.472940814,0.031596794,11.35,0.16315934,5.056784889,84.35109147,0.0096,0.0278,0.0374,0.051671399,0.316937842,5,5
Senecio vulgaris,SENVUL,Asteraceae,forb,non-native,non-native forb,elongated appendage,plume,human,animal,SAC,2.5964,2.6665,2.5964,148.0811331,0.505591094,0.032000627,27.71091345,0.136812813,2.9424875,918.9753582,0.00988,0.02128,0.03116,0.049171659,0.555035963,7,6
Sidalcea diploscypha,SIDDIP,Malvaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,49.7,49.7,49.7,252.797745,0.436444175,0.027430218,18.8,0.011907247,2.8472112,418.7758679,0.132,0,0.132,0.061543468,2.717000785,1,1
Trifolium albopurpureum,TRIALB,Fabaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,22.6,22.6,22.6,223.610819,0.457014295,0.049922027,15.46428572,0.049395339,2.34202515,64.85465377,0.043,0,0.043,0.037177602,2.509028172,1,1
Trifolium fucatum,TRIFUC,Fabaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,51.1,51.1,51.1,225.6863751,0.416624788,0.026651952,24.7,0.033546111,2.6500114,51.6451518,0.0384,0,0.0384,0.024829002,3.131013798,1,1
Trifolium hirtum,TRIHIR,Fabaceae,forb,non-native,non-native forb,no appendage,none,human,animal,MCL/SFREC,30.48,52.12,30.48,247.1874285,0.415070198,0.032227186,15.27475963,0.014113514,2.06949055,6.658038559,0.0372,0,0.0372,0.025284732,0.782540283,7,6
Vicia villosa,VICVIL,Fabaceae,forb,non-native,non-native forb,no appendage,none,ballistic,ballistic,MCL,350.77,350.77,350.77,335.1216274,0.392607868,0.028201142,56.35557693,0.007833353,4.0968822,14.51639221,0.1116,0,0.1116,0.034545392,7.831723958,2,2
Brassica nigra,BRANIG,Brassicaceae,forb,non-native,non-native forb,no appendage,none,human,wind,MCL,11.1442,11.1442,11.1442,250.5397099,0.537833434,0.046617381,111.8641503,0.002478588,1.3427317,55.93972279,0.0264,0,0.0264,0.02198306,2.32652859,7,5
Calandrinia menziesii,CALMEN,Montiaceae,forb,native,native forb,no appendage,none,human,animal,MCL,3.3303,3.3303,3.3303,155.1043707,0.478072449,0.032562313,8.44845238,0.031736611,1.56430445,66.17515462,0.0136,0,0.0136,0.01542195,0.702219948,7,6
Erythranthe guttata,ERYGUT,Phrymaceae,forb,native,native forb,no appendage,none,animal,animal,MCL,0.2238,0.2238,0.2238,98.88531096,0.552800949,0.045035605,11.6,0.037073778,0.62926691,41.26515963,0.0078,0,0.0078,0.020954089,0.317979408,6,6
Festuca microstachys,FESMIC,Poaceae,grass,native,native grass,elongated appendage,awn,adhesive,adhesive,MCL,14.41,14.41,10.4777,167.2826448,0.443214971,0.026970569,18.09462366,0.187196949,15.937735,64.93949693,0,0,0.021,0.01966327,0.606346549,6,6
Gilia capitata,GILCAP,Polemoniaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,9.0258,9.0258,9.0258,229.2686526,0.483361619,0.025489556,24.8,0.032523824,1.8301919,632.1962982,0.0092,0,0.0092,0.008141437,1.522301623,1,1
Gilia tricolor,GILTRI,Polemoniaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,3.975,3.975,3.975,209.5793946,0.448650155,0.0284613,12.325,0.02884708,1.20535634,1182.450393,0.0098,0,0.0098,0.012709553,1.490103263,1,1
Lagophylla minor,LAGMIN,Asteraceae,forb,native,native forb,no appendage,none,unknown,unknown,MCL,3.4951,3.4951,3.4951,110.0434501,0.512894737,0.049085366,12.35,0.110842764,2.38190825,81.5558438,0,0.0326,0.0326,0.055312006,0.78883998,2,2
Linanthus dichotomus,LINDIC,Polemoniaceae,forb,native,native forb,no appendage,none,unknown,unknown,MCL/CBG,0.6679,0.6679,0.6679,124.0808595,0.535685295,0.031061505,8.26,0.024440044,0.86856557,324.5822433,0.0092,0,0.0092,0.015847836,0.482287548,2,2
Logfia filaginoides,LOGFIL,Asteraceae,forb,native,native forb,elongated appendage,pappus,wind,wind,MCL,0.3325,0.3325,0.3325,114.1951578,0.50366719,0.051309262,13.825,0.060369347,0.7311904,30.12252479,0,0.0064,0.0064,0.018281269,0.447926479,5,5
Micropus californicus,MICCAL,Asteraceae,forb,native,native forb,elongated appendage,pappus,wind,wind,MCL/SFREC/CBG,0.6622,8.4658,0.6622,92.84292709,0.438681898,0.019803163,17.5,0.004977853,3.9971742,31.73471771,0,0.0292,0.0292,0.008590945,0.221075352,5,5
Minuartia douglasii,MINDOU,Caryophyllaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL/CBG,2.5506,2.5506,2.5506,122.8000637,0.424280947,0.018279733,8.85,0.05803167,1.49118525,62.33270724,0.0098,0,0.0098,0.014360145,0.565491525,1,1
Silene gallica,SILGAL,Caryophyllaceae,forb,non-native,non-native forb,no appendage,none,human,adhesive,MCL,2.6986,2.6986,2.6986,195.8948624,0.467606218,0.028594128,32.344375,0.015012493,0.999293615,20.35946752,0.0234,0,0.0234,0.033002688,1.157111568,7,6
Thysanocarpus curvipes,THYCUR,Brassicaceae,forb,native,native forb,flat appendage,wing,wind,wind,MCL/CBG,6.2866,13.59,6.2866,106.7402654,0.445615006,0.012266298,36.6,0.109505502,5.65453925,106.8403563,0.01,0.0192,0.0292,0.02098489,0.272241467,5,5
Trifolium willdenovii,TRIWIL,Fabaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,20.01,20.01,20.01,274.7818349,0.412323379,0.040863074,24.65,0.029070834,1.9010952,78.41448764,0.026,0,0.026,0.023008414,2.789358362,1,1
Uropappus lindleyi,UROLIN,Asteraceae,forb,native,native forb,elongated appendage,pappus,wind,wind,MCL,16.44,17.4,16.44,194.3635161,0.443190267,0.021710037,18.89492754,0.195065582,10.7462828,100.4979094,0,0.06,0.06,0.088493882,0.227345112,5,5
Zeltnera trichantha,ZELTRI,Gentianaceae,forb,native,native forb,no appendage,none,wind,wind,MCL,0.2842,0.2842,0.2842,144.984515,0.542019231,0.047121212,6.825,0.015437114,0.57165798,417.2624353,0.0072,0,0.0072,0.017102609,0.39933999,5,5