Site,Serpentine,Slope,Aspect,Altitude,Latitude,Longitude,X.coord,Y.coord
1,S,14,132,603.74,38.84,-122.37,553994.96,4299899.70
2,S,3,160,604.24,38.84,-122.37,554045.14,4300001.29
3,S,7,130,608.76,38.84,-122.37,553870.82,4299865.14
4,S,4,185,624.37,38.85,-122.38,553063.64,4300350.12
5,S,5,245,621.56,38.85,-122.38,553000.53,4300404.13
6,S,7,270,625.78,38.85,-122.39,552914.30,4300484.62
7,S,16,148,650.11,38.85,-122.39,552676.58,4300721.31
8,S,12,185,640.50,38.85,-122.39,552578.36,4300700.24
9,S,5,220,631.49,38.85,-122.39,552550.75,4300777.28
10,S,5,200,624.56,38.85,-122.40,551835.51,4301196.85
11,S,5,245,606.52,38.85,-122.40,551715.05,4301097.32
12,S,18,360,621.36,38.85,-122.40,551745.19,4301259.39
13,S,7,70,618.02,38.85,-122.41,550573.11,4301363.43
14,S,10,156,621.98,38.86,-122.41,550525.67,4301794.08
15,S,12,92,622.74,38.86,-122.41,550518.68,4301850.70
16,S,20,180,667.65,38.86,-122.42,550154.31,4301920.35
17,N,12,70,413.71,38.82,-122.34,556612.49,4297579.62
18,S,NA,54,418.49,38.82,-122.34,556744.97,4297645.30
19,S,3,152,346.55,38.81,-122.32,558426.33,4296505.35
20,S,20,35,338.28,38.80,-122.32,558758.71,4295720.22
21,S,15,10,394.42,38.82,-122.34,556998.71,4297520.84
22,S,8,0,405.02,38.82,-122.34,556846.52,4297429.36
23,S,15,10,397.14,38.82,-122.34,556846.37,4297420.03
24,S,1,130,394.64,38.82,-122.34,556855.68,4297423.06
25,N,5,100,NA,NA,NA,555795.37,4297541.80
26,S,7,90,376.62,38.82,-122.37,554019.47,4297625.04
27,S,4,240,372.85,38.82,-122.37,554060.17,4297668.86
28,S,3,190,378.55,38.82,-122.37,554012.28,4297764.07
29,S,10,180,365.67,38.82,-122.37,554193.52,4297884.40
30,S,20,100,375.01,38.82,-122.37,554171.43,4297941.14
31,S,16,118,377.36,38.82,-122.37,554170.83,4297983.23
32,S,21,166,470.10,38.86,-122.36,555437.45,4302102.58
33,S,32,180,475.54,38.86,-122.36,555412.42,4302073.21
34,N,20,85,330.84,38.80,-122.32,558887.27,4295853.58
35,N,40,145,326.72,38.81,-122.32,558809.81,4295921.89
36,N,5,70,337.42,38.81,-122.32,558410.76,4296697.44
37,N,5,81,342.05,38.81,-122.32,558369.70,4296744.27
38,N,5,90,629.10,38.87,-122.42,550137.70,4302964.96
39,N,5,82,624.40,38.87,-122.42,550171.07,4302877.17
40,N,20,88,622.93,38.87,-122.42,550191.73,4302820.79
41,N,10,88,622.60,38.87,-122.42,550196.29,4302735.71
42,N,27,43,631.65,38.86,-122.42,549594.29,4301848.68
43,N,20,98,624.93,38.86,-122.42,549623.67,4301857.94
44,S,28,120,479.21,38.86,-122.36,555362.50,4302027.73
45,S,18,60,469.48,38.86,-122.36,555398.64,4301982.21
46,S,18,208,467.97,38.86,-122.36,555367.12,4301891.26
47,S,16,94,466.89,38.86,-122.36,555345.38,4301816.71
48,S,40,232,454.59,38.86,-122.36,555370.13,4301724.62
49,S,37,222,453.54,38.86,-122.36,555256.85,4301712.42
50,N,20,240,432.39,38.86,-122.35,555669.46,4301617.26
51,N,23,206,426.52,38.86,-122.35,555650.31,4301668.90
52,N,10,244,424.01,38.86,-122.35,555630.48,4301728.20
53,N,10,185,412.24,38.86,-122.35,556085.28,4302139.34
54,N,10,120,417.03,38.86,-122.35,556094.72,4302166.01
55,S,22,142,671.71,38.86,-122.45,547674.68,4302065.03
56,N,22,165,696.07,38.86,-122.44,547837.71,4302401.08
57,N,23,100,685.31,38.86,-122.44,547939.59,4302463.91
58,N,20,114,731.23,38.87,-122.44,547899.15,4302573.53
59,N,8,45,720.05,38.87,-122.44,547974.14,4302594.08
60,N,8,190,705.42,38.87,-122.44,548011.23,4302570.22
61,N,10,24,473.18,38.83,-122.34,556895.44,4299133.66
62,N,7,130,481.82,38.83,-122.34,556968.55,4299109.58
63,N,7,120,466.83,38.83,-122.34,557003.13,4298997.94
64,N,5,190,453.78,38.83,-122.34,557091.89,4298675.74
65,N,12,40,450.56,38.83,-122.34,557153.81,4298543.25
66,N,23,260,439.76,38.83,-122.34,557213.18,4298531.73
67,N,20,170,424.69,38.84,-122.35,555927.82,4299928.11
68,N,16,230,420.70,38.85,-122.35,555850.34,4300674.65
69,N,5,20,430.07,38.85,-122.35,555895.82,4300620.07
70,N,5,20,433.35,38.85,-122.35,555948.01,4300568.16
71,N,5,318,420.95,38.85,-122.35,555882.21,4300332.72
72,N,16,138,415.84,38.85,-122.35,555808.97,4300420.40
73,N,10,222,412.66,38.85,-122.35,555725.60,4300550.87
74,N,35,260,416.63,38.84,-122.35,556019.72,4300285.82
75,N,17,58,414.85,38.84,-122.35,556006.77,4300261.21
76,N,5,270,416.28,38.84,-122.35,555956.95,4300157.90
77,N,3,240,431.25,38.84,-122.35,556000.94,4299864.68
78,N,5,260,433.36,38.84,-122.34,556450.74,4299841.47
79,N,NA,NA,436.94,38.84,-122.34,556530.62,4299758.35
80,N,NA,NA,441.66,38.84,-122.34,556585.22,4299750.86